text_asli,removed_noise,removed_alay,removed_stopwords
"tonase atau berat sampah di jakarta menurun selama adanya penerapan work from home (wfh) atau bekerja di rumah. kepala dinas lingkungan hidup dki jakarta, andono warih, mengungkapkan penurunan tonase mencapai 620 ton per hari.

https://t.co/quvshfwhst","tonase atau berat sampah di jakarta menurun selama adanya penerapan (wfh) atau bekerja di rumah. kepala dinas lingkungan hidup dki jakarta, andono warih, mengungkapkan penurunan tonase mencapai 620 ton per","tonase atau berat sampah di jakarta menurun selama adanya penerapan (wfh) atau bekerja di rumah. kepala dinas lingkungan hidup dki jakarta, andono warih, mengungkapkan penurunan tonase mencapai 620 ton per","tonase berat sampah jakarta menurun penerapan ( wfh ) rumah . kepala dinas lingkungan hidup dki jakarta , andono warih , penurunan tonase mencapai 620 ton"
apa cuma gue aja yang ngerasa work from home itu jadinya kaya kerja 24 jam ya? 🤣,apa cuma gue aja yang ngerasa itu jadinya kaya kerja 24 jam ya? 🤣,apa cuma gue saja yang merasa itu jadinya kayak kerja 24 jam ya? 🤣,kerja 24 jam ? 🤣
"arghhhh rindu nak gi kerja . sbb kalau work from home buat virtual class, bg latihan thru google form and google classroom ni ada orang cakap cikgu cikgi xbuat kerja !!! aku tiap pagi2 dah hantar link, budak sekarang xpayah menyalin .. tekan2 je dah boleh belajar https://t.co/tbyov3v8dy","arghhhh rindu nak gi kerja . sbb kalau buat virtual class, bg latihan thru google form and google classroom ni ada orang cakap cikgu cikgi xbuat kerja !!! aku tiap pagi2 dah hantar link, budak sekarang xpayah menyalin .. tekan2 je dah boleh belajar","arghhhh rindu nak gi kerja . sebab kalau buat virtual class, bang latihan thru google form and google classroom nih ada orang cakap cikgu cikgi xbuat kerja !!! aku tiap pagi2 deh hantar link, budak sekarang xpayah menyalin .. tekan2 je deh boleh belajar","arghhhh rindu gi kerja . virtual class , bang latihan thru google form and google classroom orang cakap cikgu cikgi xbuat kerja ! ! ! pagi2 deh hantar link , budak xpayah menyalin .. tekan2 je deh belajar"
"work from home. buat duit dari rumah
#zoolkiff #fingomalaysia
https://t.co/zqggah0xvi
https://t.co/ae6cts2f3b https://t.co/cr0ktovlyi","home. buat duit dari rumah
#zoolkiff","home. buat duit dari rumah
#zoolkiff",". duit rumah 
 #zoolkiff"
"work from home. zoom dan netflix juga dipajaki? | blusukan kru mmc
https://t.co/ylovvy7s3x

https://t.co/ylovvy7s3x",home. zoom dan netflix juga dipajaki? | blusukan kru,home. zoom dan netflix juga dipajaki? | blusukan kru,. zoom netflix dipajaki ? | blusukan kru
baru berhasil nemu pace kerjain tugas buat work from home. pokoke tetep tidur no.1,baru berhasil nemu pace kerjain tugas buat home. pokoke tetep tidur no.1,baru berhasil nemu pace kerjain tugas buat home. pokoke tetap tidur no.1,berhasil nemu pace kerjain tugas . pokoke tidur no.1
"work from home. zoom dan netflix juga dipajaki?! | blusukan kru mmc

https://t.co/bodciuu9oc

jangan lupa share seluas-luasnya ke seluruh kontak antum ya 😊",home. zoom dan netflix juga dipajaki?! | blusukan kru lupa share seluas-luasnya ke seluruh kontak antum ya 😊,home. zoom dan netflix juga dipajaki?! | blusukan kru lupa share seluas-luasnya ke seluruh kontak antum ya 😊,. zoom netflix dipajaki ? ! | blusukan kru lupa share seluas - luasnya kontak antum 😊
"work from home teh gimana sii, mutasinya belom masuk nih. kan aku jadi ga semngat 🙄","teh gimana sii, mutasinya belom masuk nih. kan aku jadi ga semngat 🙄","teh bagaimana sii, mutasinya belum masuk nih. kan aku jadi enggak semangat 🙄","teh sii , mutasinya masuk . semangat 🙄"
work from home. zoom dan netflix juga dipajaki?! | blusukan kru mmc https://t.co/7e8zjwlf8i via @youtube,home. zoom dan netflix juga dipajaki?! | blusukan kru mmc via,home. zoom dan netflix juga dipajaki?! | blusukan kru mmc via,. zoom netflix dipajaki ? ! | blusukan kru mmc via
who menetapkan covid-19 sebagai pandemi sejak 12 maret 2020 lalu. https://t.co/snixp1knt7,who menetapkan covid-19 sebagai pandemi sejak 12 maret 2020 lalu.,who menetapkan covid-19 sebagai pandemi sejak 12 maret 2020 lalu.,who menetapkan covid - 19 pandemi 12 maret 2020 .
