text_asli,removed_noise,removed_alay,removed_stopwords
5 keluhan yang muncul akibat kelamaan work from home https://t.co/n0uz6dpol3,5 keluhan yang muncul akibat kelamaan,5 keluhan yang muncul akibat kelamaan,5 keluhan muncul akibat
aku cuti bergilir harini. aka work from home. tapi nape aku dah bangun. hmm,aku cuti bergilir harini. aka home. tapi nape aku dah bangun. hmm,aku cuti bergilir harini. aka home. tapi nape aku deh bangun. hmm,cuti bergilir harini . aka . nape deh bangun . hmm
"yassalam... semakin byk yg work from home atopun gabut in de kost, dan w yaa alhamdulillah masih masuk krja. btw makin sepi ni pabrik, banyak yg di off. stay safe and stay healthy eve...","yassalam... semakin byk yg atopun gabut in de kost, dan w yaa alhamdulillah masih masuk krja. btw makin sepi ni pabrik, banyak yg di off. stay safe and stay healthy eve...","yassalam... semakin banyak yang atopun gabut ini deh kost, dan gue ya alhamdulillah masih masuk krja. btw makin sepi nih pabrik, banyak yang di off. stay safe and stay healthy eve...","yassalam ... atopun gabut deh kost , alhamdulillah masuk krja . btw sepi pabrik , off . stay safe and stay healthy eve ..."
"jakartans.... 
#kalogaadacorona 
mungkin sekarang mimin lg cuti leyeh-leyeh di hua hin, tapi gak akan ngerti betapa serunya work from home bantu-bantu #sarapanseru siaran dari rumah. 
------------------------
kalau kamu gimana? #kalogaadacorona, apa sih yg terjadi di hidup kamu? https://t.co/ph14vhttxm","jakartans.... #kalogaadacorona mungkin sekarang mimin lg cuti leyeh-leyeh di hua hin, tapi gak akan ngerti betapa serunya bantu-bantu #sarapanseru siaran dari rumah. ------------------------
kalau kamu gimana? #kalogaadacorona, apa sih yg terjadi di hidup kamu?","jakartans.... #kalogaadacorona mungkin sekarang admin lagi cuti leyeh-leyeh di hua hin, tapi enggak akan mengerti betapa serunya bantu-bantu #sarapanseru siaran dari rumah. ------------------------
kalau kamu gimana? #kalogaadacorona, apa sih yang terjadi di hidup kamu?","jakartans .... #kalogaadacorona admin cuti leyeh-leyeh hua hin , mengerti betapa serunya bantu - bantu #sarapanseru siaran rumah . - - - - - - - - - - - - - - - - - - - - - - - - 
 gimana ? #kalogaadacorona , hidup ?"
8 model kursi keren ini bikin kamu nyaman work from home https://t.co/biqpuymlr4,8 model kursi keren ini bikin kamu nyaman,8 model kursi keren ini bikin kamu nyaman,8 model kursi keren bikin nyaman
"work from home bertujuan untuk memutus rantai penyebaran virus bukan hubungan

jadi, jangan ngilang😌","bertujuan untuk memutus rantai penyebaran virus bukan hubungan

jadi, jangan ngilang😌","bertujuan untuk memutus rantai penyebaran virus bukan hubungan

jadi, jangan ngilang😌","bertujuan memutus rantai penyebaran virus hubungan 

 , ngilang 😌"
ini orang @airasiasupport pada kerja gak sih? kayanya bales twitter bs work from home deh. refund katanta 1 bulan. udah mau 2 bln sepeserpun blm ada duit gw yang balik.,ini orang pada kerja gak sih? kayanya bales twitter bs deh. refund katanta 1 bulan. udah mau 2 bln sepeserpun blm ada duit gw yang balik.,ini orang pada kerja enggak sih? kayanya balas twitter bisa deh. refund katanta 1 bulan. sudah mau 2 bulan sepeserpun belum ada duit gue yang balik.,orang kerja ? kayanya balas twitter deh . refund katanta 1 . 2 sepeserpun duit .
"waspada, lima keluhan yang muncul akibat kelamaan ‘work from home’ https://t.co/foi5cewk8w https://t.co/tglyhohucg","waspada, lima keluhan yang muncul akibat kelamaan ‘work home’","waspada, lima keluhan yang muncul akibat kelamaan ‘work home’","waspada , keluhan muncul akibat ‘ ’"
yang dibutuhkan orang-orang biar sehat selama masa work from home adalah menayangkan kembali senam sehat oleh feny rose.,yang dibutuhkan orang-orang biar sehat selama masa adalah menayangkan kembali senam sehat oleh feny rose.,yang dibutuhkan orang-orang biar sehat selama masa adalah menayangkan kembali senam sehat oleh feny rose.,dibutuhkan orang-orang biar sehat menayangkan senam sehat feny rose .
"@frsbagassholee @abyanwcksono iyah, aku mah work from home, dan bimbingan online, dan mobile legends. 🙃","iyah, aku mah home, dan bimbingan online, dan mobile legends. 🙃","iyah, aku mah home, dan bimbingan online, dan mobile legends. 🙃","iyah , , bimbingan online , mobile legends . 🙃"
"gadget:  huawei ikut siapkan aplikasi konferensi video, apa bedanya?: https://t.co/9wyjqfg86x - huawei ikut menyiapkan aplikasi konferensi video, yang banyak digunakan sejak kebijakan bekerja dari rumah (work from home), selama pandemi corona baru… https://t.co/0qguucbklp https://t.co/fl1fx1uzle","gadget: huawei ikut siapkan aplikasi konferensi video, apa bedanya?: - huawei ikut menyiapkan aplikasi konferensi video, yang banyak digunakan sejak kebijakan bekerja dari rumah (work home), selama pandemi corona baru…","gadget: huawei ikut siapkan aplikasi konferensi video, apa bedanya?: - huawei ikut menyiapkan aplikasi konferensi video, yang banyak digunakan sejak kebijakan bekerja dari rumah (work home), selama pandemi corona baru…","gadget : huawei siapkan aplikasi konferensi video , bedanya ? : - huawei aplikasi konferensi video , kebijakan rumah ( ) , pandemi corona …"
5 keluhan yang muncul akibat kelamaan work from home https://t.co/qsmgu24ai2,5 keluhan yang muncul akibat kelamaan,5 keluhan yang muncul akibat kelamaan,5 keluhan muncul akibat
"wkwkw agak lucu pas ada yg dm saya bilang “kok iso jalan2 ditengah pandemi ini” 
haha 😂😂 
publish skejul langsung disuruh ke seoul soalnya, kan ak dah bilang gr2 drakor wkwk. 
maklum gabisa work from home wkwk","wkwkw agak lucu pas ada yg dm saya bilang “kok iso jalan2 ditengah pandemi ini” haha 😂😂 publish skejul langsung disuruh ke seoul soalnya, kan ak dah bilang gr2 drakor wkwk. maklum gabisa wkwk","wkwkw agak lucu pas ada yang dm saya bilang “kok iso jalan-jalan ditengah pandemi ini” haha 😂😂 publish skejul langsung disuruh ke seoul soalnya, kan aku deh bilang gara-gara drakor wkwk. maklum enggak bisa wkwk","wkwkw lucu pas dm bilang “ iso jalan-jalan ditengah pandemi ” haha 😂 😂 publish skejul langsung disuruh seoul , deh bilang gara-gara drakor wkwk . maklum wkwk"
