text_asli,removed_noise,removed_alay,removed_stopwords
work from home asn pemprov sumsel diperpanjang hingga 21 april https://t.co/enpn7ro1y1 https://t.co/vycaaq0y0g,asn pemprov sumsel diperpanjang hingga 21 april,asn pemprov sumsel diperpanjang hingga 21 april,asn pemprov sumsel diperpanjang 21 april
"memang ramai nak lockdown jadi. bukan pasal support saranan k'jaan pun, tapi pasal nanti takyah gi ofis kerija. orang lain boleh work from home, dia kena pergi kerja plak. tak aci la kaaan. https://t.co/auemuqxdtt","memang ramai nak jadi. bukan pasal support saranan k'jaan pun, tapi pasal nanti takyah gi ofis kerija. orang lain boleh home, dia kena pergi kerja plak. tak aci la kaaan.","memang ramai nak jadi. bukan pasal support saranan k'jaan pun, tapi pasal nanti takyah gi ofis kerija. orang lain boleh home, dia kena pergi kerja plak. tak aci lah kaaan.","ramai . pasal support saranan k'jaan , pasal takyah gi ofis kerija . orang , kena pergi kerja plak . aci kaaan ."
work from home bikin gw ga tau kalo hari ini tanggal merah. -__-,bikin gw ga tau kalo hari ini tanggal merah. -__-,bikin gue enggak tau kalo hari ini tanggal merah. -__-,bikin tau tanggal merah . -__-
"ketika orang2 bilang udah bingung mau rebahan posisi apalagi.
cuma gue kah yang bener2 menikmati rebahan akibat work from home ini?:”)","ketika orang2 bilang udah bingung mau rebahan posisi apalagi.
cuma gue kah yang bener2 menikmati rebahan akibat ini?:”)","ketika orang-orang bilang sudah bingung mau rebahan posisi apalagi.
cuma gue kah yang benar-benar menikmati rebahan akibat ini?:”)","orang-orang bilang bingung rebahan posisi . 
 kah benar-benar menikmati rebahan akibat ? : ” )"
"huahh... badan pegal-pegal pasti banyak dirasakan ketika work from home (wfh). untuk membuat otot tubuh menjadi rileks, atasi dengan mengonsumsi buah-buahan ini yuk! #obatpegal #buah

via @detikfood https://t.co/iv07kijlhz","huahh... badan pegal-pegal pasti banyak dirasakan ketika (wfh). untuk membuat otot tubuh menjadi rileks, atasi dengan mengonsumsi buah-buahan ini yuk! #obatpegal #buah

via","huahh... badan pegal-pegal pasti banyak dirasakan ketika (wfh). untuk membuat otot tubuh menjadi rileks, atasi dengan mengonsumsi buah-buahan ini yuk! #obatpegal #buah

via","huahh ... badan pegal - pegal dirasakan ( wfh ) . otot tubuh rileks , atasi mengonsumsi buah-buahan ! #obatpegal #buah 

 via"
"implementasi work from home, menggunakan beberapa aplikasi &amp; tools kolaborasi (install sendiri dan sudah tersedia oleh penyedia)","implementasi home, menggunakan beberapa aplikasi &amp; tools kolaborasi (install sendiri dan sudah tersedia oleh penyedia)","implementasi home, menggunakan beberapa aplikasi &amp; tools kolaborasi (install sendiri dan sudah tersedia oleh penyedia)","implementasi , aplikasi & amp ; tools kolaborasi ( install tersedia penyedia )"
"work from home (wfh) method, namun masih ada yang harus dilakukan dari kantor (tetap jaga jarak, pakai master, dan cuci tangan)","(wfh) method, namun masih ada yang harus dilakukan dari kantor (tetap jaga jarak, pakai master, dan cuci tangan)","(wfh) method, namun masih ada yang harus dilakukan dari kantor (tetap jaga jarak, pakai master, dan cuci tangan)","( wfh ) method , kantor ( jaga jarak , pakai master , cuci tangan )"
"kemarin kita wfo (work from home)
.
.
alhasil kantor sepi... wkwkwkw https://t.co/4etazo56gu","kemarin kita wfo (work home)
.
.
alhasil kantor sepi... wkwkwkw","kemarin kita wfo (work home)
.
.
alhasil kantor sepi... wkwkwkw","kemarin wfo ( ) 
 . 
 . 
 alhasil kantor sepi ... wkwkwkw"
"work from home, grup keluarga besar aku kreatip juga. siang maen tebak2 an, malemnya tuguran bareng + doa rosario via zoom. keysip 👌🏻","home, grup keluarga besar aku kreatip juga. siang maen tebak2 an, malemnya tuguran bareng + doa rosario via zoom. keysip 👌🏻","home, grup keluarga besar aku kreatip juga. siang main tebak2 an, malemnya tuguran bareng + doa rosario via zoom. keysip 👌🏻",", grup keluarga kreatip . siang main tebak2 an , malemnya tuguran bareng + doa rosario via zoom . keysip 👌 🏻"
"kelamaan work from home, kayaknya nanti pas udah mulai ngantor banyak karyawan yang ngajuin keringanan untuk nggak mandi sebelum berangkat ke kantor.","kelamaan home, kayaknya nanti pas udah mulai ngantor banyak karyawan yang ngajuin keringanan untuk nggak mandi sebelum berangkat ke kantor.","kelamaan home, kayaknya nanti pas sudah mulai ngantor banyak karyawan yang mengajukan keringanan untuk enggak mandi sebelum berangkat ke kantor.",", kayaknya pas ngantor karyawan mengajukan keringanan mandi berangkat kantor ."
"rekomendasi gaya hijab ala citra kirana, cocok untuk 'work from home' #taucepattanpabatas . https://t.co/99tjffgyzc","rekomendasi gaya hijab ala citra kirana, cocok untuk 'work home' #taucepattanpabatas .","rekomendasi gaya hijab ala citra kirana, cocok untuk 'work home' #taucepattanpabatas .","rekomendasi gaya hijab ala citra kirana , cocok ' ' #taucepattanpabatas ."
@sxvdious aku work from home..  alhamdulillah sejak semalam tido sharp pukul 2,aku home.. alhamdulillah sejak semalam tido sharp pukul 2,aku home.. alhamdulillah sejak semalam tido sharp pukul 2,.. alhamdulillah semalam tido sharp 2
"rabu, 8 april 2020
dr. istiana hermawati, m. sos melaporkan progress selama work from home sesuai tugas -tugas yang diberikan oleh kepala b2p3ks untuk melakukan kajian tentang ""dampak sosial ekonomi akibat wabah virus corona bagi masyarakat miskin""

@kemensosri
@juliaribatubara https://t.co/an1jrx1wdu","rabu, 8 april 2020
dr. istiana hermawati, m. sos melaporkan progress selama sesuai tugas -tugas yang diberikan oleh kepala b2p3ks untuk melakukan kajian tentang ""dampak sosial ekonomi akibat wabah virus corona bagi masyarakat","rabu, 8 april 2020
dr. istiana hermawati, m. sos melaporkan progress selama sesuai tugas -tugas yang diberikan oleh kepala b2p3ks untuk melakukan kajian tentang ""dampak sosial ekonomi akibat wabah virus corona bagi masyarakat","rabu , 8 april 2020 
 dr. istiana hermawati , m. sos melaporkan progress sesuai tugas -tugas kepala b2p3ks kajian "" dampak sosial ekonomi akibat wabah virus corona masyarakat"
