"_type","category","isi","judul"
"dict","finance","","Melihat Dari Dekat Operasional PLTGU Grati"
"dict","finance","Jakarta - Peneliti Institute for Development of Economics and Finance (INDEF) memproyeksi Indonesia dalam 20 tahun ke depan akan kehabisan minyak sebagai sumber energi. Hal itu dikarenakan kebutuhan yang semakin meningkat.Peneliti INDEF Imaduddin Abdullah mengatakan pemerintah memiliki dua pilihan untuk mencegah kekurangan minyak di dalam negeri. Hal itu dilakukan dengan meningkatkan produksi energi baru dan terbarukan (EBT).Dengan adanya EBT, diharapkan ketergantungan terhadap minyak dapat menurun. Kemudian, pilihan selanjutnya adalah impor minyak. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535944306169-0'); }); ""Opsinya itu meningkatkan produksi EBT-nya atau kalau punya duit banyak dari sektor lain ya untuk impor. Konsumsi sulit ditekan tapi bisa dikurangi (terhadap minyak),"" ujar dia dalam diskusi media di Tjikini Lima, Jakarta, Kamis (21/3/2019).Baca juga: Cadangan Migas RI Disebut akan Habis 20 Tahun Lagi, Kok Bisa?Lebih lanjut, ia juga mengatakan pemerintah dapat juga mendorong penggunaan transportasi publik hingga percepatan revisi undang-undang (RUU) migas agar investasi bisa terus berjalan.""Public transportation bagus. Sistem diperkuat untuk investasi juga baik dari UU migas dan dorong EBT migas nggak cukup. Jadi kombinasi supply side dan manajemen side,"" tutup dia.Sebagai informasi, produksi minyak dalam negeri yang berkurang dikarenakan saat ini 99% transportasi di Indonesia masih bergantung pada migas. Padahal, ada banyak sumber daya alam lain yang bisa dimanfaatkan.Baca juga: 2020, Jonan Targetkan Bangun Jargas 1 Juta Sambungan Per TahunTransportasi tergantung minyakMenurut Imaduddin, saat ini transportasi masih memegang kendali utama yang bergantung pada produksi minyak. Bahkan, transportasi di Indonesia 99% menggunakan minyak sebagai bahan bakarnya.""Hampir 99% disumbangkan dari bensin atau produk olahan minyak,"" kata dia dalam diskusi media di Tjikini Lima, Jakarta, Kamis (21/3/2019).""Rasio cadangan kita miliki dengan produksi yang kita lakukan. Semakin kecil ratio ini semakin cepat kita akan kehabisan energi tersebut. Jadi kita bisa lihat kalau kecil dalam beberapa tahun datang akan habis,"" terangnya.Senada dengan Imaduddin, peneliti INDEF Berly Martawardaya dalam kesempatan yang sama juga memprediksi cadangan minyak Indonesia akan habis dalam 20 tahun ke depan. Hal ini dikarenakan besarnya kebutuhan dibanding angka produksi.""Dengan cadangan yang ada dan tren konsumsi di masa mendatang itu juga kurang dari 20 tahun akan habis,"" tutup Berly. (fdl/fdl) ekonom migas energi bbm minyak","Saran untuk Pemerintah Agar RI Tak Kekurangan Minyak"
"dict","hot","","Sempat Bikin Heboh, Kok Ussy Sulistiawaty Nggak Pamer Ketiak Lagi?"
"dict","finance","Banyuwangi - Beras organik produksi Banyuwangi go internasional. Setelah diekspor ke sejumlah negara kini beras unggulan Banyuwangi ini resmi diekspor ke Italia. Italia adalah pasar terbaru dari beras organik Banyuwangi setelah sebelumnya diekspor ke sejumlah negara.Beras yang diekspor itu adalah produksi PT Sirtanio, perusahaan agribisnis Banyuwangi yang digerakkan anak-anak muda. Beras organik yang diekspor adalah Beras Merah Varietas Segobang A3, Beras Hitam Melik A3, dan Beras Sunrise of Java. Varietas-varietas itu telah didaftarkan sebagai padi asli Banyuwangi oleh Dinas Pertanian di Kementerian Pertanian.Prosesi ekspor perdana tersebut berlangsung di Padepokan Pusat Pendidikan dan Pelatihan Pertanian Swadaya (P4S) Sirtanio, Kecamatan Singojuruh, Kamis (21/3/2019). googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535944306169-0'); }); Produksi beras organik Sirtanio bersama petani mitranya mencapai 30 ton per bulan di lahan 70 hektar.""Kami mengambil segmen terkecil, yaitu Italia. Kami kirim ke sana 2,8 ton per bulan. Ada tim yang memantau pengelolaan lahan organik khusus ekspor, sembari terus kami tingkatkan lahan organik lainnya agar bisa standar ekspor,"" terang Samanhudi, ketua Kelompok Tani Mendo Sampurno yang memproduksi beras ekspor itu.Dia mengatakan, permintaan luar negeri terhadap beras organik Banyuwangi sangat besar. Dari China, misalnya, sebesar 60 ton per bulan. Belum lagi dari Amerika Serikat.""Kapasitas kami terbatas. Jadi ini dipenuhi bertahap. Ke depan, kami terus merangkul petani-petani lainnya,"" ujarnya.Baca juga: Ekskavator Made in Bandung Siap Dikirim ke Vietnam dan MyanmarPara petani tersebut awalnya adalah kelompok yang mendapatkan pendidikan dan pelatihan pertanian organik Dinas Pertanian Banyuwangi. Bersama PT Sirtanio yang dikomandoi Ahmad Tessario, mereka berkolaborasi menjadi badan usaha yang kini menaungi 200 petani organik lokal. Produk mereka juga dibeli berbagai perusahaan makanan raksasa. Tak hanya itu, para petani itu merupakan kluster binaan Bank Indonesia (BI) dan Pemkab Banyuwangi. ""Kami bangga dengan ekspor perdana ini. Ini prestasi petani Banyuwangi. BI mendukung pertanian organik di beberapa daerah, namun yang berhasil tembus ekspor baru Banyuwangi,"" kata Difi kepada wartawan. ""Banyuwangi menjadi contoh bagi pertanian organik yang sukses. Pasar Eropa itu susah ditembus, namun berkat kegigihan kelompok tani di sini, mereka bisa masuk pasar Eropa,"" imbuh Difi.Bupati Banyuwangi Abdullah Azwar Anas mengatakan, ekspor perdana ke Italia adalah bukti bahwa beras organik Banyuwangi telah memiliki standar mutu dan kualitas internasional.""Dengan beras organik, petani punya nilai tambah, dapat harga lebih baik dibanding beras biasa,"" ujarnya.Saat ini pengembangan beras organik Banyuwangi dilakukan di 9 kecamatan seluas 81,49 hektar dengan produksi 515,5 ton per tahun. Sebanyak tujuh kecamatan telah mendapatkan sertifikat pertanian organik Standar Nasional Indonesia (SNI). Tahun ini dua kecamatan dalam proses mendapat SNI pertanian organik.""Lewat APBD, kita akan kembangkan tambahan sekitar 120 hektar lahan padi organik bersama petani, sehingga pertengahan tahun depan sudah ada 200 hektar lahan padi organik untuk memenuhi permintaan ekspor yang tinggi,"" ujarnya.Untuk pengembangan pertanian organik, Pemkab Banyuwangi melakukan pelatihan agen hayati, pengembangan laboratorium mini agen hayati, hingga fasilitasi sertifikasi nasional dan internasional organik.Baca juga: Seharga Rp 2,5 Miliar, Ini Spek Bus yang Diekspor ke Bangladesh (fdl/fdl) beras banyuwangi italia","Beras Organik Made in Banyuwangi Diekspor ke Italia"
"dict","sport","Hanoi - Indra Sjafri menjelaskan alasannya membawa Egy Maulana Vikri meski jarang bermain dengan tim. Egy dianggap sangat penting untuk Timnas Indonesia.Egy terbilang telat gabung ke pemusatan latihan Timnas Indonesia U-23. Pemain Lechia Gdansk itu baru ikut berlatih pada 13 Maret, setelah semua pemain lebih dulu latihan pada awal Maret.Pemain asal Medan baru tampil saat Indonesia menjalankan laga uji coba melawan Bali United. Egy masuk di babak kedua dalam pertandingan yang dimenangi Skuat Garuda Muda dengan skor 3-0.Baca juga: 'Ganjalan untuk Ezra Walian Terlalu Mengada-ada' googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945694694-0'); }); ""Saya tidak suka pertanyaan yang sifatnya individu pemain karena ini tim sepakbola dan ada 11 pemain dari total 23 pemain. Yang harus saya kontrol,"" kata Indra dalam konferensi pers jelang Kualifikasi Piala Asia U-23 2020 di Hanoi, Vietnam.""Saya perlu Egy, dari sekian pemain di Indonesia potensi sepakbolanya banyak. Egy adalah salah satunya. Saya ajak dia karena kualitasnya saya anggap bisa memenuhi kebutuhan game plan. Jadi gak tergantung menit dia bermain,"" sambungnya.Indonesia tergabung di Grup K dalam babak Kualifikasi Piala Asia U-23. Tim Merah-Putih akan melawan Thailand lebih dulu di Stadion My Dinh, Jumat (22/3/2019). Selanjutnya bakal menantang Vietnam dan Brunei.Baca juga: Perkiraan Formasi Timnas U-23 dengan Egy dan Saddil (ran/mrp) egy maulana vikri indra sjafri timnas indonesia u-23 kualifikasi piala asia u-23 2020 kualifikasi piala afc u-23 2020","Karena Egy Sangat Penting untuk Timnas Indonesia"
"dict","hot","","Jennifer Coppen yang Makin Dewasa"
"dict","finance","Jakarta - Direktur Utama Garuda Indonesia I Gusti Ngurah Askhara Danadiputra mengatakan bahwa bisa saja pihaknya mencari pabrikan pesawat selain Boeing. Dia menyatakan kalau Garuda telah mengambil posisi untuk menghentikan pemesanan Boeing 737 Max 8.Dengan penghentian pemesanan itu pihak Boeing ingin menindaklanjutinya dengan bertemu pihak Garuda. Menurut pria yang biasa disapa Ari Ashkara ini, membuka opsi untuk menggunakan pabrikan pesawat lain apabila negosiasi dengan Boeing berakhir buntu.""Kalau beralih (pabrikan pesawat), mungkin saja, kalau negonya stuck. Pastinya kita akan resiko kehilangan pre down payment (PDP),"" kata Ari saat ditemui di Plaza Indonesia, Kamis (21/3/2019). googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535944306169-0'); }); Baca juga: Batalkan Boeing 737 MAX 8, Garuda Sudah Bayar Tanda Jadi Rp 3,6 MDia mengatakan pihaknya tidak menutup kemungkinan untuk mencari pabrikan lain. Terlebih lagi kalau ada pabrikan lain memberikan penawaran yang menarik dan tepat kepadanya.""Kalau kita lihat deal dengan pabrikan lain itu bagus dan bisa diabsorb, kami memang terbuka untuk opsi itu,"" ungkap Ari.Namun, Ari optimis negosiasi dengan Boeing akan berjalan dengan baik. ""Tapi saya confidence sama Boeing karena mereka pabrikan kita sejak lama tahun 80-an,"" ungkapnya.Sebelumnya, buntut dari pelarangan terbang Boeing 737 Max 8 membuat Garuda Indonesia telah melakukan pembatalan pada pemesanan unit pesawat tersebut. Ari juga mengatakan bahwa pihaknya pun sudah menyurati pihak Boeing, dan mendapatkan balasan untuk melakukan negosiasi.Baca juga: Pesanan Pesawatnya Dibatalkan Garuda, Bos Boeing Mau ke Indonesia (fdl/fdl) garuda pesawat boeing airbus garuda indonesia boeing 737 max 8","Batalkan Pesanan Boeing 737 Max 8, Garuda Mau Pindah ke Lain Hati?"
"dict","sport","Jakarta - Timnas Indonesia menggelar sesi latihan terakhir sebelum berangkat ke Myanmar. Pelatih Simon McMenemy hanya memberikan menu latihan ringan.Indonesia telah menyelesaikan pemusatan latihan di Australia dan Bali. Andik Vermansah dkk akan bersiap menghadapi FIFA match day melawan Myanmar pada 25 Maret mendatang.Sebelum ke Jakarta, Indonesia sempat melakukan uji coba melawan Bali United. Ketika itu kedua tim bermain imbang 1-1. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945694694-0'); }); Dalam sesi latihan di Stadion Madya, Senayan, Jakarta, Kamis (21/3/2019), para pemain terlihat latihan ringan dengan suasana lebih rileks. Simon ingin pemainnya pemainnya tak terlalu tegang.Baca juga: Timnas Indonesia Seri 1-1 Lawan Bali United""Latihan hari ini kami recovery karena kemarin berat lawan Bali United dan hampir semua pemain main. Jadi hari ini kami mau latihan sesinya yang lebih ringan. Kami lihat tadi ada sedikit ketawa-ketawa karena kami mau anak-anak itu bisa menyatu,"" ujar Simon usai latihan.Eks pelatih Bhayangkara FC itu mengaku sangat senang karena pemain sudah mulai paham dengan apa yang diinginkannya. Hal itu sudah diperlihatkan pemain sejak TC di Australia.""TC di Australia sangat bagus. Saya respek dengan pekerjaan teman-teman (media), tapi saya rasa sesekali kami boleh bawa anak-anak jauh dari Indonesia untuk latihan tanpa mereka harus memikirkan apa yang dipikirkan orang lain, kapan harus di wawancara dan sebagainya. Disana kami latihan teknik taktik sangat bagus jadi saya sangat puas dengan TC di Australia,"" sambungnya.Baca juga: Ini 22 Pemain Timnas Indonesia Kontra Myanmar (ads/mrp) simon mcmenemy timnas indonesia timnas myanmar","Sebelum Berangkat ke Myanmar, Timnas Latihan Lebih Santai"
"dict","sport","Milan - Mauro Icardi semakin dekat dengan comeback-nya setelah absen selama enam pekan. Striker asal Argentina itu sudah kembali berlatih bersama Inter Milan.Icardi sudah absen membela Inter sejak ban kaptennya dicabut pada 13 Februari. Cedera lutut kemudian juga disebut sebagai penyebab Icardi harus menepi.Kamis (21/3/2019), kantor berita Italia, ANSA, melaporkan bahwa Icardi sudah berlatih bersama teman-teman setimnya di Appiano Gentile. Striker 26 tahun itu berlatih bersama para pemain yang tak dipanggil ke timnas. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945694694-0'); }); Baca juga: Icardi, Masihkah Cinta dengan Inter Milan?Sejumlah petinggi Inter, termasuk Manajer Umum Beppe Marotta, juga hadir dalam sesi latihan tersebut. Demikian seperti dikutip dari Football Italia.Icardi dilaporkan sudah menuntaskan proses pemulihan cedera lututnya. Ia berpeluang kembali masuk ke skuat Inter untuk laga berikutnya melawan Lazio saat Serie A kembali bergulir pada 31 Maret usai jeda internasional.Icardi sejauh ini sudah tampil 28 kali di semua kompetisi. Mantan pemain Sampdoria itu mengemas 15 gol, sembilan di antaranya dibuat di Serie A.Baca juga: Bravo Inter, Bravo Lautaro (nds/rin) mauro icardi inter milan","Icardi Sudah Kembali Berlatih"
"dict","finance","Labuan Bajo - Alat-alat elektronik milik warga Desa Pasir Putih Pulau Messah rusak karena listrik dari diesel sewaan sering byarpet. Niat para nelayan untuk membuat es sendiri harus diurungkan ketimbang kulkas yang dibeli dengan susah payah rusak oleh listrik yang tak stabil.Desa Pasir Putih Pulau Messah Kecamatan Komodo berjarak sekitar sejam dari Labuan Bajo, Nusa Tenggara Timur. Pulau ini dihuni oleh 1.969 jiwa dan 484 kepala keluarga. Hanya sekitar 200 kepala keluarga saja yang menyewa listrik dari diesel yang dimiliki sejumlah warga di sini. Listrik itu menyala dari pukul 18.00 WITa hingga 06.00 WITa, namun sering mati dan hidup lagi alias byarpet.""Bayangkan saja, bayar listrik Rp 10 ribu per malam. Kadang nyalanya kecil tapi mati-hidup mati-hidup. Televisi-televisi warga banyak yang rusak, layarnya jadi garis-garis, banyak sekali yang mengalami itu,"" kata Sekretaris Desa Pasir Putih, Jufri Aburairah, kepada detikcom sambil menanti orang PLN yang kabarnya mau datang, Kamis (28/2/2019) siang. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535944306169-0'); }); Baca juga: Warga Taman Nasional Komodo Ingin Listrik 24 Jam hingga Air BersihSetengah dari jumlah rumah warganya bahkan tidak berlistrik. Mereka memanfaatkan lampu minyak sebagai penerang gulita. Padahal di zaman ini, akses informasi dan teknologi dibutuhkan masyarakat. Sulit dibayangkan bagaimana mengakses teknologi tanpa ada listrik. Selain itu, nelayan juga butuh listrik untuk menunjang hidup mereka.""Masyarakat di sini adalah masyarakat nelayan, jadi mereka butuh es. Mereka ingin bikin es batu supaya tidak perlu ke Labuan Bajo menghabiskan ongkos ojek kapal Rp 20 ribu hanya untuk beli es yang satu plastik seharga Rp 2 ribu,"" tutur Jufri.Biaya membayar listrik dan membeli es masih harus ditambah biaya membeli air. Di Pulau Messah, warga membeli air per jeriken isi 20 liter seharga Rp 2.500,00. Biasanya, satu rumah menghabiskan empat jeriken sehari. Air bersih itu digunakan untuk minum, memasak, dan mandi dengan cara khusus. ""Masyarakat di sini mandi cepur, yaitu mandi dulu di laut kemudian dibilas pakai air tawar,"" kata dia.Baca juga: Listrik Langka, Mesin Diesel Jadi Andalan Sumber ListrikSiang hari, tim PLN dari Wilah NTT yang sudah ditunggu Jufri ternyata benar-benar datang. Mereka adalah tim Upaya Pengelolaan Lingkungan Hidup/Upaya Pemantauan Lingkungan Hidup (UKL/UPL) dari Fakultas Sains dan Teknik Universitas Nusa Cendana Kupang yang digandeng PLN NTT. ""PLN mengatakan listrik akan menyala sebelum lebaran. Ini yang kami tunggu-tunggu,"" kata Jufri sembari berdiri melangkah menyalami para utusan PLN itu.Para petugas PLN itu kemudian naik ke atas bukit belakang permukiman di siang hari yang terik ini. Dari titik yang memungkinkan seseorang memandang 360 derajat ke lautan yang mengelilingi pulau, PLN akan membangun Pembangkit Listrik Tenaga Surya (PLTS). Ada dua orang tim UKL/UPL yang mengaktifkan alat pengambil sampel udara (Air Sampling Pump) untuk melihat kondisi udara kawasan ini sebelum dipasangi PLTS. Utusan PLN Wilayah NTT dari UNDANA sedang memeriksa calon PLTS di Pulau Messah, Kecamatan Komodo, NTT. (Moch Prima Fauzi/detikcom)Tahap yang kini dilakukan adalah tahap penelitian dan sosialisasi. Terlihat di balai warga, bapak-bapak yang berkumpul sudah tidak sabar menyambut listrik yang lebih baik di desanya. ""Jadi ini pertama sosialisasi berkaitan dengan upaya pemantauan lingkungan hidup sebelum ada pembangunan PLTS. Kami dipercaya PLN Wilayah NTT untuk memastikan dokumen lingkungan hidupnya,"" kata Ketua TIM UKL/UPL dari Universitas Undana, Frans Likaja.Baca berita lainnya mengenai Teras BRI Kapal Bahtera Seva di Ekspedisi Bahtera Seva. (dnu/hns) bahteraseva bahteraseva-bajo manggarai barat pulau komodo pulau messah listrik","PLN, Warga Pulau Messah Komodo Nantikan Pasokan Listrik"
