text_asli,removed_noise,removed_stopwords
"@indraopletz positif thinking plet. mungkin dia kerja work from home, cuman jaga lilin biar nyala terus","positif thinking plet. mungkin dia kerja work from home, cuman jaga lilin biar nyala terus",positif thinking plet kerja work from home cuman jaga lilin biar nyala
@dimasfatahilla work from home ess sesuai anjuran pmerintah,work from home ess sesuai anjuran pmerintah,work from home ess sesuai anjur pmerintah
masih menanti kabar lumajang work from home,masih menanti kabar lumajang work from home,kabar lumajang work from home
@adilahhusni wehh sma nak gak sbb nk work from home 😔,wehh sma nak gak sbb nk work from home 😔,wehh sma sbb nk work from home
"badan mulai ga enak setelah semingguan nyiapin infrastructures buat orang2 work from home, awas yee lu pada disuruh wfh malah ngacir ke emol!!!","badan mulai ga enak setelah semingguan nyiapin infrastructures buat orang2 work from home, awas yee lu pada disuruh wfh malah ngacir ke emol!!!",badan enak minggu nyiapin infrastructures orang2 work from home awas yee lu suruh wfh ngacir emol
"@bintik_ kamu seharian work from home alias beberes rumah ya, sampe ngga ngetwit gitu pdhl ini malem minggu. cry","kamu seharian work from home alias beberes rumah ya, sampe ngga ngetwit gitu pdhl ini malem minggu. cry",work from home alias beberes rumah sampe ngetwit gitu pdhl malem minggu cry
"@sxch_ @azfarsyhmi @ainisaac @yayaysf23 @ameermirzameer @kkmputrajaya @jpenerangan kitaorg gilir2 jugak ni work from home but me as leader dept banyak nak kena buat, nak tak nak hari hari turun office 😭 nak nanesss takut tapi apakan daya demi rakyat malaysia jugak 😔","kitaorg gilir2 jugak ni work from home but me as leader dept banyak nak kena buat, nak tak nak hari hari turun office 😭 nak nanesss takut tapi apakan daya demi rakyat malaysia jugak 😔",kitaorg gilir2 jugak work from home but me as leader dept kena turun office nanesss takut daya rakyat malaysia jugak
jadi secara teknis bisa dibilang kita itu antara work from home atau sleep at the office 😁. karena tempat kerja kita hanya terpisah 1 lantai aja. kalo ngerjain kerjaan kantor kita gak kemana2 kecuali tugas keluar kantor.,jadi secara teknis bisa dibilang kita itu antara work from home atau sleep at the office 😁. karena tempat kerja kita hanya terpisah 1 lantai aja. kalo ngerjain kerjaan kantor kita gak kemana2 kecuali tugas keluar kantor.,teknis bilang work from home sleep at the office kerja pisah 1 lantai ngerjain kerja kantor kemana2 kecuali tugas kantor
"ooooh ya, jadi inget. sebetulnya brapa taun lalu juga pernah ngalamin situasi kerja semacam work from home gitu. jadi dulu sempet kerja di salah satu bumn penempatan di kalimantan timur.","ooooh ya, jadi inget. sebetulnya brapa taun lalu juga pernah ngalamin situasi kerja semacam work from home gitu. jadi dulu sempet kerja di salah satu bumn penempatan di kalimantan timur.",ooooh inget brapa taun ngalamin situasi kerja work from home gitu sempet kerja salah bumn kalimantan timur
case kat penang dah potong case kat kedah. makin takut nak pi keja ni nti 😓😓 isnin ngn slasa ja kena pi keja. then bru lah work from home. aduhhh,case kat penang dah potong case kat kedah. makin takut nak pi keja ni nti 😓😓 isnin ngn slasa ja kena pi keja. then bru lah work from home. aduhhh,case kat nang potong case kat kedah takut pi keja nti isnin ngn slasa ja kena pi keja then bru work from home aduhhh
