"_type","category","isi","judul"
"dict","sport","Singapura - Indonesia dipastikan nirgelar di Singapura Terbuka 2019. Wakil terakhir, Anthony Ginting, dipaksa mengakui keunggulan pebulutangkis Jepang Kento Momota.Pada laga final di Singapore Indoor Stadium, Minggu (14/4/2019), Anthony dan Momota bertarung sepanjang tiga gim. Meski sempat memenangi gim pertama, Anthony akhirnya tumbang 21-10, 19-21, 13-21.Baca juga: Hendra/Ahsan Runner-Up di Singapura TerbukaKekalahan Anthony memaksa Indonesa tanpa gelar di turnamen ini. Pasalnya, Hendra Setiawan/Mohammad Ahsan yang maju ke final juga gagal setelah menyerah dari ganda Jepang Takeshi Kamura/Keigo Sonoda. googletag.pubads().definePassback('/4905536/detik_desktop/sport/parallax_detail', [1, 1]).display(); Baca juga: Ada Apa dengan Kevin/Marcus?Dengan hasil ini, Anthony kini memiliki rekor 3-7 dari Momota. Pebulutangkis nomor satu dunia itu memenangi tiga pertemuan terakhir sejak dikalahkan Anthony di China Terbuka pada September 2019.Selain itu, kegagalan ini menandai pencapaian terbaik Anthony di 2019. Sedangkan bagi Momota, ini adalah titel keempatnya usai menjuarai Indonesia Masters, Jerman Terbuka, dan All England.Hasil Lengkap Final Singapura TerbukaTunggal putri: Tai Tzu Ying vs Nozomi Okuhara 21-19, 21-15Ganda campuran: Dechapol Puavaranukroh/Sapsiree Taerattanachai vs Tan Kian Meng/Lai Pei Jin 21-14, 21-6Ganda putri: Mayu Matsumoto/Wakana Nagahara vs Kim Hye Jeong/Kong Hee Yong 21-17, 22-20Ganda putra: Takeshi Kamura/Keigo Sonoda vs Mohammad Ahsan/Hendra Setiawan 21-13, 19-21, 21-17Tunggal putra: Kento Momota vs Anthony Ginting 10-21, 21-19, 21-13 (rin/ran) singapura terbuka 2019 anthony ginting kento momota hendra/ahsan googletag.pubads().definePassback('/4905536/detik_desktop/sport/newstag', [1, 1]).display();","Anthony Kalah di Final, Indonesia Tanpa Gelar di Singapura Terbuka"
"dict","sport","Jakarta - Madura United enggan meratapi kegagalannya di Piala Presiden 2019. Trofi juara Piala Kemerdekaan dan Liga 1 2019 menjadi bidikan Laskar Sape Kerap.Madura United hanya sampai babak semifinal di Piala Presiden setelah ditekuk Persebaya Surabaya dengan agregat 2-4. Sementara itu turnamen dimenangi oleh Arema FC yang mengalahkan Persebaya di final dengan agregat 4-2.Manajer Madura Haruna Soemitro mengatakan timnya langsung menggelar evaluasi menyeluruh terkait penampilannya di Piala Presiden. Andik Vermansah dkk ingin fokus menatap Piala Indonesia dan Liga 1. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945694694-0'); }); Baca juga: 'Final Piala Presiden 2019 Bukti Jatim Barometer Sepakbola Nasional'""Yang pasti kami akan mempersiapkan diri lebih matang lagi. Kami akan mempertajam karena tanggal 22 dan 24 April kami sudah main lagi di Piala Indonesia. Kami harus lebih siap karena yang kami kejar, ada dua kesempatan lagi yang kami kejar yaitu juara Piala Indonesia dan Liga 1,"" ujar Haruna.Baca juga: Mereka yang Terbaik di Piala Presiden 2019Madura lolos ke babak delapan besar Piala Indonesia. Mereka kini menunggu lawan yang akan ditentukan di dalam drawing pada Senin (16/4/2019). Sedangkan Liga 1 dijadwalkan kickoff pada 8 Mei.Dengan memiliki persiapan tersebut, Haruna berharap timnya tampil lebih oke terutama saat Liga 1. Untuk mewujudkan target juara, Madura United bahkan telah mendatangkan banyak pemain bintang.""Yang penting sekarang adalah persiapan kompetisi akan kami mantapkan lagi. Kami akan langsung evaluasi,"" katanya menambahkan. (ads/rin) madura united piala presiden 2019 liga 1 2019 piala indonesia","Gagal di Piala Presiden, Madura United Bidik Juara di Piala Indonesia dan Liga 1"
"dict","finance","Jakarta - Calon presiden nomor urut 01 Joko Widodo (Jokowi) memamerkan capaian program tax amnesty atau pengampunan pajak. Itu dia sampaikan dalam debat Capres Kelima di Hotel Sultan, Jakarta, Sabtu (13/4/2019).""Melalui tax amnesty kita amnesti Rp 4.800 triliun dan dapatkan income Rp 114 triliun. Kita ingin agar tax base kita semakin besar sehingga income semakin banyak. Tapi kalau langsung naik tinggi itu akan berikan shock economy,"" ungkapnya.Baca juga: Prabowo Mau Kerek Tax Ratio 16%, Jokowi: Nanti Ada Shock EconomyBerdasarkan data dari Ditjen Pajak Kementerian Keuangan, faktanya adalah sebagai berikut: googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535944306169-0'); }); Program tax amnesty mencatat peserta sebanyak 972.530Realisasi penerimaan amnesti pajak sesuai SSP mencapai Rp 134,99 triliun, dengan uang tebusan sebesar Rp 114,23 triliun, pembayaran tunggakan Rp 19,02 triliun dan pembayaran bukti permulaan (bukper) sebesar Rp 1,75 triliun.Baca juga: Prabowo Pertanyakan Keuntungan Freeport Dikuasai IndonesiaRealisasi komposisi harta sebesar Rp 4.881 triliun, terdiri dari deklarasi dalam negeri sebesar Rp 3.697,94 triliun, deklarasi luar negeri sebesar Rp 1.036,37 triliun, dan repatriasi sebesar Rp 146,69 triliun.Berdasarkan sebaran peserta, Jawa Non DKI masih menjadi yang paling terbesar, yakni peserta 382.403 WP, dengan uang tebusan Rp 35,98 triliun, dan deklarasi Rp 1.319,6 triliun. Sedangkan DKI Jakarta sendiri, total pesertanya 255.819 WP dengan uang tebusan Rp 43,62 triliun, dan deklarasi Rp 1.294 triliun. (dna/dna) tax amnesty jokowi jokowi debat capres debat kelima pilpres 2019 debat final capres 2019 debat terakhir capres 2019 pilpres 2019","Jokowi Pamer Penerimaan dari Tax Amnesty, Bagaimana Datanya?"
"dict","sport","Madrid - Pelatih Real Madrid, Zinedine Zidane, memuji Karim Benzema. Zidane menilai Benzema bisa menjadi nomor sembilan dan juga 10.Benzema musim ini bermain tidak buruk. Pria 31 tahun itu sudah mencetak 17 gol di LaLiga, terbanyak untuk Madrid saat ini.Tapi, Zidane malah dikabarkan tengah mencari striker pelapis Benzema. Sejauh ini, Benzema adalah satu-satunya target-man di Real Madrid yang sudah kenyang pengalaman. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945694694-0'); }); Baca juga: Apa Jadinya Madrid Tanpa Benzema?Zidane coba meredam kabar tersebut dengan menilai Benzema adalah striker yang berbeda dari lainnya. Benzema disebut bisa berperan sebagai target-man dan juga second striker.""Dia bisa bermain dengan siapa saja; pemain terbaik tahu cara bermain bersama,"" kata Zidane seperti dikutip dari AS.""Dia bukan tipikal nomor sembilan. Ketika menjadi starter, dia bermain lebih banyak main melebar kemudian lebih dalam. Dia bisa melakukan banyak hal - mencetak seperti seperti nomor sembilan dan menjadi penghubung seperti nomor 10,"" Zidane menegaskan.Madrid akan bertandang ke markas Leganes pada Selasa (16/4/2019) dinihari WIB. Kemenangan dibutuhkan Los Blancos untuk terus menempel Atletico Madrid di posisi kedua.Baca juga: Madrid Buka Harga Gareth Bale Rp 2 Triliun, Bisa Ditukar Tambah (ran/rin) zinedine zidane real madrid karim benzema","Benzema Bukan Striker Biasa"
"dict","hot","","Meski Kewalahan, Ardina Rasti Nikmati Urus Anak"
"dict","sport","","Dua Gol Penalti Pogba Bawa MU Atasi West Ham"
"dict","sport","","Susah Payah Milan Kalahkan Lazio"
"dict","finance","Jakarta - Capres nomor urut 02 Prabowo Subianto menyebut seharusnya badan usaha milik negara (BUMN) bisa menjadi juara dunia. Dia mencontohkan saat ini BUMN penerbangan Garuda Indonesia disebut tak bisa bersaing dengan maskapai swasta. Kata Prabowo, Garuda Indonesia bisa untung jika kursinya terisi 120%. Namun, hal ini tidak mungkin karena melebihi kapasitas penumpang.""Kita lihat benteng itu goyah, beberapa saat lalu Bloomberg membuat studi, penerbangan break event point dan beberapa kursi harus diduduki agar dapat untung? Kalau penerbangan Jepang itu 60%, Garuda itu 120%, ini nggak bisa untung kalau pengelolaannya begini terus,"" kata Prabowo dalam Debat Kelima Pilpres di Hotel Sultan, Jakarta, Sabtu (13/4/2019). googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535944306169-0'); }); Baca juga: Prabowo: Holding, Holding, yang Sekarang Tak Dikelola Baik!Prabowo mengungkapkan jika BUMN dibentuk holding maka masa depan perusahaan negara ini tak akan jelas. ""BUMN kita harusnya jadi world champion, tapi tidak tahu masa depannya bagaimana,"" ujar dia.Menanggapi hal itu, Jokowi menjelaskan dengan holding-holding perusahaan ini maka BUMN bisa bersaing di luar negeri. ""Dengan holding ini BUMN bisa lebih berani keluar kandang dan mudah mendapatkan modal. Boleh bapak cek berapa setoran dividen BUMN ke APBN kita,"" ujarnya.Baca juga: Sandiaga Baca Surat Tolak Pembentukan Holding BUMN Penerbangan (kil/ara) prabowo subianto garuda indonesia debat kelima pilpres 2019 debat terakhir capres 2019 debat final capres 2019","Singgung Keuntungan Garuda, Prabowo: Kursinya Harus Terisi 120%"
"dict","sport","","Tercepat, Marquez Kembali Raih Pole Position di MotoGP Amerika"
"dict","hot","","Potret Slank Beraksi di Konser Putih Bersatu"
