"_type","category","isi","judul"
"dict","sport","Jakarta - Sidang perkara komponen Ducati yang diprotes empat pabrikan telah selesai digelar. Ada beberapa prediksi terkait keputusannya. Apa saja?Aprilia, KTM, Honda dan Suzuki melayangkan gugatan atas komponen aero yang terpasang di motor Desmosedici yang dikendarai Andrea Dovizioso, Danilo Petrucci, dan Jack Miller di MotoGP Qatar. Pada awalnya, protes itu ditolak Steward MotoGP namun keempat pabrikan tersebut kemudian membawa kasus ini ke Pengadilan Banding FIM.Sidang tersebut telah digelar di Mies, Swiss, pada Jumat (22/3/2019) pada pukul 11 pagi dan baru berakhir menjelang pukul 6 sore waktu setempat. Sementara hasil putusan sidang baru akan diketahui pada Senin (25/3) atau Selasa (26/3), menjelang seri kedua di Argentina. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945783791-0'); }); Baca juga: Sidang Ribut-Ribut 4 Pabrikan vs Ducati Soal Winglet Sudah DigelarGPOne merumuskan ada tiga potensi putusan sidang yang memungkinan. Berikut analisisnya:1. Komponen aero Ducati LegalIni akan menjadi kemenangan besar bagi Ducati, itu artinya komponen tersebut sepenuhnya sah dan hanya digunakan untuk mendinginkan ban belakang. Di dalam perkara ini, tentu saja kemenangan Dovizioso di Qatar tidak akan diganggu gugat dan Desmosedici bisa terus menggunakan komponen tersebut. Ini juga berarti bahwa pabrikan-pabrikan lainnya bisa juga mengembangkan komponen yang sama, dan hanya masalah waktu saja sebelum komponen itu dipasang di setiap motor di atas lintasan.2. Ducati DidiskualifikasiPengadilan Banding FIM juga bisa setuju dengan tim-tim yang protes karena klaim bahwa komponen tersebut digunakan untuk menghasilkan downforce. Dengan demikian, Desmosedici yang sudah menjalani balapan (dan menang) di Qatar tidak sah sehingga bisa didiskualifikasi dari balapan.Kemenangan Dovizioso di Losail pun akan dibatalkan, begitu pula dengan Petrucci yang finis keenam. Sudah pasti ini akan menjadi hukuman terberat bagi para pebalap Ducati.Baca juga: Persiapan MotoGP 2021, Tiga Infrastruktur Ini Akan Dibangun di LombokAda juga opsi yang diramalkan oleh regulasi, yaitu mengurangi poin yang dikantongi Ducati di hanya klasemen pabrikan. Kemenangan Dovizioso tetap disahkan, dan Ducati akan memulai seri kedua dengan nol poin di klasemen pabrikan.3. Kemenangan Dovizioso Tetap Sah, Komponen TidakPutusan yang terakhir ini dipandang sebagai yang paling memungkinkan. Pengadilan Banding bisa saja mengonfirmasi hasil di Qatar tapi melarang komponen tersebut digunakan lagi mulai dari MotoGP Argentina. Itu sesuai dengan tuntutan empat tim yang protes. Perkiraan putusan tersebut mirip dengan apa yang terjadi di Formula 1 pada tahun lalu dengan mobil-mobil Mercedes. Meski tidak ilegal sepenuhnya, tapi tim lantas memutuskan untuk meninggalkan solusi tersebut untuk menghindari protes di kemudian hari. (rin/din) motogp ducati motogp qatar honda suzuki ecstar","3 Perkiraan Putusan Sidang soal Komponen Ducati yang Diprotes"
"dict","hot","","Mewahnya Baby Shower Anak Kedua Ruben Onsu dan Sarwendah"
"dict","sport","Jakarta - Juara All England 2019, Hendra Setiawan/Mohammad Ahsan, diguyur bonus lagi. Kali ini, bonus datang PB Djarum Kudus dan PB Jaya Raya Jakarta.Pemberian bonus kepada Hendra/Ahsan dilakukan di Galeri Indonesia Kaya, Grand Indonesia, Rabu (20/3/2019), empat hari setelah mereka tiba di Indonesia. Jika dari Kemenpora masing-masing menerima uang senilai Rp 240 juta, kini Hendra dan Ahsan masing-masing menerima Rp 225 juta (Rp 200 juta berupa uang dan Rp 25 juta voucher dari Tiket.com). Ya, nominal bonus yang diterima Hendra dan Ahsan sama berkat komunikasi sip dua klub yang menaungi mereka. Hendra dari Jaya Raya, sedangkan Ahsan dibesarkan Djarum. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945783791-0'); }); ""Nilainya bisa sama sekarang kan zaman canggih ada aplikasi Whatsapp. Ya tarik ulur ada, tapi pokoknya harus sama (nilainya). Kebersamaan. Ya, kami sepakat tetap berkolaborasi untuk pemain agar klub lain juga terinspirasi,"" kata Program Director Bakti Olahraga Djarum Foundation Yoppy Rosimin, dalam jumpa pers usai penyerahan bonus. Baca juga: Hendra/Ahsan Berambisi ke Olimpiade, Apa Kata PBSI?Senada, Ketua Harian PB Jaya Raya, Imelda Wiguna, mengatakan klub berupaya keras untuk menyamakan bonus. ""Sebetulnya, sudah lama dan seperti Djarum dan Jaya Raya cocok. Karena, atlet kami juga banyak yang kolaborasi seperti Kevin Sanjaya Sukamuljo/Marcus Fernaldi Gideon, lalu Rinov Rivaldy dengan Phita Haningtyas Mentari, lalu Hafiz Faisal/ Gloria Emanuelle Widjaja. Jadi, memang cocok sih. Kami komunikasi tengah malam (untuk bonus ini),"" kata Imelda""Tapi setahu suami setahu istri,"" Imelda berkelakar hingga memancing tawa tamu undangan.Kolaborasi bonus antara PB Djarum dengan Jaya Raya ini memang baru kali pertama. Biasanya, masing-masing punya acara tersendiri dalam pemberian bonus. ""Pastinya pertama kami ucapkan terimakasih dari klub Djarum dan Jaya Raya. Semoga ini menambah motivasi kami dan adik-adik juga,"" kata Ahsan, terpisah. Selain bonus untuk Juara All England 2019, PB Djarum juga memberikan bonus kepada tim beregu putra PB Djarum yang telah menjuarai Superliga 2019 senilai Rp 300 juta.Baca juga: Menumpang Pesawat Ekonomi, Lelah Hendra/Ahsan Luntur Setiba di Tanah Air (mcy/fem) all england 2019 hendra setiawan mohammad ahsan bonus all england 2019","Hendra/Ahsan Diguyur Bonus, Kali Ini Dari Klub"
"dict","finance","Jakarta - Kementerian Dalam Negeri (Kemendagri) mengusulkan dana kelurahan sebesar Rp 721 miliar. Dana tersebut nantinya akan disebar ke 7.201 kecamatan di Indonesia.Kepala Pusat Penerangan Kemendagri Bahtiar mengatakan, dari total anggaran yang diusulkan masing-masing kelurahan akan mendapatkan anggaran sekitar Rp 100 juta.""Usulannya Rp 100 juta per kecamatan, jumlah kecamatan 7.201 sesuai Permendagri 137 tahun 2017,"" kata Bahtiar saat dihubungi detikFinance, Jakarta, Senin (25/3/2019). googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535944306169-0'); }); Bahtiar menjelaskan dana kecamatan nantinya akan digunakan untuk operasional penyelenggaraan pemerintahan umum, dan pembinaan serta pengawasan pelaksanaan dana desa.Lebih lanjut Bahtiar mengungkapkan, usulan dana kecamatan ini nantinya akan dialokasikan dari Anggaran Pendapatan dan Belanja Negara (APBN).Baca juga: Jokowi Mau Siapkan Dana Kecamatan, Apa Itu?Pemerintah sendiri, sudah mengalokasikan anggaran pemberdayaan daerah melalui dana desa dan dana kelurahan.Pemerintahan kabinet kerja sendiri sudah mengalokasikan dana desa sejak 2015, pada saat itu di anggaran sebesar Rp 20,7 triliun. Lalu di 2016 sebesar Rp 47 triliun dan angka itu naik menjadi Rp 60 triliun di 2017. Kemudian di 2018, anggarannya sebesar Rp 60 triliun, dan tahun 2019 sebesar Rp 73 triliun.Sedangkan dana kelurahan, pemerintah baru saja memasukkan ke dalam APBN 2019. Anggaran untuk 8.122 kelurahan ini ditaksir mencapai Rp 3 triliun.""Harapannya meningkatkan pelayanan masyarakat di level kecamatan khususnya urusan pementahan umum dan pembinaan, pengawasan penyelenggaraan pemerintahan desa dan kelurahan sebaik efektif,"" ujar dia.""Karena sejatinya merekalah aparat selalu jadi sepanjang waktu di tengah-tengah masyarakat,"" tambah dia.Baca juga: Setelah Dana Desa, Nanti Ada Dana Kecamatan (hek/fdl) dana kecamatan dana desa kemendagri","Setiap Kecamatan Diusulkan Dapat Dana Rp 100 Juta"
"dict","hot","","Terseret Kasus Seungri, Ji Chang Wook Dibela Agensi"
"dict","hot","","Wajah Happy Mayangsari saat Turun ke Sawah"
"dict","sport","Bandung - Stapac tampil sebagai juara IBL (Indonesia Basketball League) 2018/2019. Stapac menungguli Satria Muda 2-0 dalam final best of three usai memenangi laga kedua.Pertandingan kedua final IBL digelar di C'Tra Arena, Bandung, Sabtu (23/3/2019), Stapac menang telak atas Satria Muda dengan skor akhir 74-56. Ini menjadi gelar kelima Stapac di kompetisi bola basket level teratas Indonesia, atau yang pertama sejak 2013/14 saat masih bernama Aspac.Meski kalah dengan skor mencolok, namun Satria Muda sempat memberikan perlawanan menjanjikan di dua kuarter pertama. Setelah tertinggal 14-17 di 10 menit pertama, Satria Muda menyeimbangkan permainan menjadi 28-28 untuk memasuki jeda pertandingan. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945783791-0'); }); Stapac menjauh dari kejaran Satria Muda usai menjaringkan 28 poin di kuarter ketiga dan hanya kemasukan 22 poin untuk mengubah skor menjadi 56-50.Baca juga: Stapac Kalahkan Satria Muda di Game Pertama Final IBLKuarter empat menjadi pembeda. Stapac tampil jauh lebih trengginas untuk mendapatkan 18 poin tambahan, sedangkan Satria Muda justru melempem sehingga cuma mampu meraup enam poin.Savin Rafiyg Goodman menginspirasi kemenangan Stapac di pertandingan ini setelah mengemas double-double dengan 20 poin dan 19 rebound. Kendal Yancy menambahkan 17 poin, dan pemain cadangan Abraham Dmar Grahita menceploskan 14 poin. Performa mentereng Dior Alexandros Lowhorn tak sanggup menyelamatkan Satria Muda. Lowhorn mengukir double-double dengan 25 poin dan 20 rebound selama 37 menit di atas lapangan. Arki Dikania Wisnu menambahkan 15 poin, sedangkan sembilan poin disumbangkan Juan Laurent Kokodiputra. (rin/raw) ibl stapac stapac jakarta satria muda jakarta","Stapac Juara IBL 2018/2019"
"dict","finance","Jakarta - Kementerian Perdagangan melakukan promosi produk nasional berkualitas ke pasar global dengan menggelar pameran dagang Trade Expo Indonesia 2019.Dalam pameran tersebut Kemendag akan menghimpun produk-produk potensial ekspor dari seluruh Indonesia. Salah satu tujuan pameran ini adalah untuk mengajukan dan menunjukkan produk unggulan Indonesia secara internasional.""Pameran adalah salah satu upaya kita dalam lakukan promosi baik di dalam dan luar negeri. Pameran ini bertujuan untuk mempromosikan produk nasional berkualitas yang diproduksi di Indonesia ke pasar global, mengembangkan jejaring bisnis dan investasi, serta menyajikan display produk unggulan dan terbaik Indonesia,"" ungkap Direktur Jenderal Pengembangan Ekspor Nasional Arlinda, di kantornya, Senin (25/3/2019). googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535944306169-0'); }); Setidaknya menurut Arlinda nantinya akan ada 750 stand yang disediakan untuk memperkenalkan produk-produk potensial di Indonesia. Akan ada produk potensial mulai dari produk kuliner nusantara, produk premium dan kreatif, jasa dan manufaktur, dan lainnya.Baca juga: Tak Pakai Dolar AS, Perdagangan RI-Thailand Rp 121 M dalam 2 BulanArlinda pun menjelaskan nantinya bukan hanya ada pameran namun Kemendag juga akan membantu program business to business (B to B) untuk menghubungkan para pembeli dari seluruh dunia ke penyedia produk lokal di Indonesia disana. Salah satunya dengan program penjajakan kesepakatan dagang (business matching) antara pembeli dengan produsen lokal.Pameran dagang ini akan dihelat di ICE BSD, Tangerang, pada 16-20 Oktober 2019. Nantinya, para pembeli global dan produsen lokal akan berkumpul di sana.Arlinda menilai pameran dagang ini potensinya cukup besar. Contohnya saja kenaikan transaksi yang terjadi pada gelaran Trade Expo Indonesia 2018.""Tahun 2018 saja transaksi yang dihasilkan cukup fantastis, tahun lalu pengunjung kita sebanyak 333.333, meningkat 16,5% jika di-compare sama 2017. Yang paling menggembirakan adalah transaksi di tahun 2018 senilai US$ 8,49 miliar, padahal targetnya hanya US$ 1,5 miliar,"" ungkap Arlinda.Baca juga: KEIN Berharap Ada Terobosan untuk Memajukan Koperasi (eds/eds) kemendag ekspor","Pameran Produk Lokal Ini Incar Transaksi Miliaran Dolar"
"dict","sport","Bandung - Stapac Jakarta tampil sebagai juara IBL 2018/2019. Gelar ini melengkapi penampilan cemerlang Stapac di sepanjang kompetisi.Gelar juara itu dipastikan Stapac setelah menumpas Satria Muda 74-56 di laga final kedua di C'Tra Arena, Bandung, Sabtu (23/3/2019). Stapac juara dengan keunggulan 2-0 usai memenangi final pertama di Britama Arena, Kamis (21/3).Bagi Stapac, ini adalah gelar juara pertama dalam lima tahun. Terakhir kali Stapac memenangi kompetisi bola basket level teratas Tanah Air adalah pada musim 2013/14. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945783791-0'); }); Lebih ciamik lagi pada musim ini Stapac cuma menderita sekali kekalahan yaitu di musim reguler. Sedangkan di playoff, Stapac melewatinya dengan mulus tanpa kehilangan satu pertandingan pun dari babak pertama sampai final.""Kami layak juara. Saya senang dengan pemain saya. Mereka saling percaya satu sama lain. Kami menganggap setiap gim adalah final,"" ungkap pelatih Stapac Giedrius Zibenas usai pertandingan.Baca juga: Stapac Juara IBL 2018/2019Semakin manis karena Stapac turut berhasil menggondol titel MVP Final. Center Savon Rafriyq Goodman memenangi gelar tersebut usai mencetak double-double dengan 20 poin dan 19 rebound selama bermain lebih dari 35 menit di atas lapangan.""Ini bukan tentang saya. Saya jadi MVP juga karena teman teman. Saya gembira bisa menjadi juara,"" sahut Savon merendah.Abraham Danar Grahita menambahkan 11 poin dan 10 rebound bagi Stapac. Abraham lega karena pengorbanan Stapac selama ini akhirnya terbayar dengan titel juara.""Semua pengorbanan terbayar. Setiap latihan dimarahi pelatih sudah terbayar lunas dengan gelar juara,"" kata Abraham. ""Satria Muda tim bagus, tapi Stapac fokus pada pembenahan diri sendiri pada babak kedua."" (rin/raw) ibl stapac jakarta satria muda jakarta","Gelar Juara Lengkapi Musim Gemilang Stapac"
"dict","finance","Jakarta - Nama Wisnu Kuncoro beberapa hari ini menjadi perbincangan publik. Bukan karena prestasinya, tapi karena ia terkena operasi tangkap tangan (OTT) oleh Komisi Pemberantasan Korupsi (KPK). Direktur Teknologi dan Produksi PT Krakatau Steel (Persero) Tbk (KRAS) tersebut kena OTT KPK dengan dugaan pengadaan barang dan jasa.""Tim KPK mendapatkan informasi bahwa akan ada penyerahan uang dari AMU ke WNU di sebuah pusat perbelanjaan di Bintaro, Tangerang Selatan. Diduga penyerahan uang tersebut berhubungan dengan pengadaan barang dan jasa di PT KS,"" kata Wakil Ketua KPK Saut Situmorang di kantor KPK, Kuningan, Jakarta Selatan, Sabtu (23/3/2019).Wisnu diduga menerima suap melalui perantara bernama Alexander Muskitta. Dijelaskan bahwa Wisnu awalnya merencanakan kebutuhan barang dan peralatan sebesar Rp 24 miliar dan Rp 2,4 miliar. Alexander diduga menawarkan beberapa rekanan untuk melaksanakan pekerjaan tersebut kepada Kuncoro dan disetujui. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535944306169-0'); }); ""AMU menyepakati commitment fee dengan rekanan yang disetujui untuk ditunjuk, yakni PT GK (PT Grand Kartech) dan GT (Group Tjokro) senilai 10% dari nilai kontrak,"" jelas Saut.Baca juga: Direkturnya Kena OTT, Saham Krakatau Steel AnjlokSelanjutnya, Alexander meminta Rp 50 juta kepada Kenneth Sutardja (KSU) dari PT Grand Kartech. Alexader juga meminta Rp 100 juta kepada Kurniawan Eddy Tjokro (KET) dari Group Tjokro.Kasus OTT KPK yang melibatkan direksi Badan Usaha Milik Negara (BUMN) bukan kali pertama ini terjadi. Sebelumnya, ada beberapa petinggi BUMN yang sudah mengenakan rompi oranye KPK.Membaca beberapa kasus yang melibatkan petinggi BUMN ke belakang, ada beberapa nama yang terciduk KPK dengan beragam dugaan. Komisi anti rasuah tersebut juga gencar menciduk kasus yang melibatkan perusahaan pelat merah.Pada Desember 2018 lalu, KPK menetapkan dua orang pejabat PT Waskita Karya (Persero) Tbk (WSKT)sebagai tersangka. Keduanya diduga terlibat dalam dugaan perkara korupsi terkait proyek infrastruktur. Adalah Fathor Rachman selaku Kepala Divisi II PT Waskita Karya (Persero) Tbk periode 2011-2013 dan Yuly Ariandi Siregar selaku Kepala Bagian Keuangan dan Risiko Divisi II PT Waskita Karya (Persero) Tbk periode 2010-2014.Ketua KPK Agus Rahardjo pada konferensi pers di kantornya pada Senin (17/12/2018) lalu mengatakan bahwa kedua pejabat Waskita Karya menunjuk beberapa perusahaan sub kontraktor untuk melakukan pekerjaan fiktif. Sebagian pekerjaan proyek tersebut sudah dikerjakan perusahaan lain, akan tetapi keempat perusahaan sub kontraktor tersebut dibuat seolah-olah menggarap proyek.""Atas subkontrak pekerjaan fiktif ini, PT Waskita Karya selanjutnya melakukan pembayaran kepada perusahaan kontraktor tersebut,"" kata Agus.Pembayaran tersebut kemudian diserahkan empat perusahaan sub kontraktor kepada para tersangka. Kerugian keuangan negara diperkirakan sebesar Rp 186 miliar.Baca juga: Direkturnya Kena OTT KPK, Krakatau Steel: Ini Harus yang TerakhirSelanjutnya, ada nama Budi Tjahjono yang pernah menjabat sebagai Direktur Utama PT Asuransi Jasindo (Persero). Budi didakwa korupsi Rp 3 miliar dan US$ 662.891 dengan kasus pembayaran komisi agen fiktif asuransi minyak dan gas BP Migas-KKKS. Budi Tjahjono bersama-sama dengan Direktur Keuangan dan Investasi PT Asuransi Jasindo periode 2008-2013 Solihah dan pihak swasta Kiagus Emil Fahmy Cornain telah melakukan perbuatan memperkaya diri sendiri.Perbuatan itu dilakukan dengan cara merekayasa kegiatan agen dan pembayaran komisi yang diberikan pada agen PT Asuransi Jasindo. Pembayaran itu seolah-olah sebagai imbalan jasa kegiatan atas penutupan asuransi aset dan konstruksi pada BP Migas-KKKS (Kontraktor Kontrak Kerja Sama) tahun 2010-2012 dan 2012-2014, padahal penutupan tersebut tidak menggunakan jasa agen PT Asuransi Jasindo. Pada tahun sebelumnya, April 2017, nama Firmansyah Arifin yang kala itu menjabat sebagai Direktur Utama PT PAL Indonesia (Persero) dan dua anak buahnya ditetapkan sebagai tersangka kasus gratifikasi. Ketiganya dijadikan tersangka kasus suap terkait pengadaan kapal. Indikasi gratifikasi yang diterima dan disita KPK sebesar Rp 230 juta. Penetapan ketiganya sebagai tersangka merupakan pengembangan penyidikan kasus penerimaan suap terkait dengan pengadaan kapal ke Filipina. Dalam kasus itu, KPK menetapkan 4 tersangka, termasuk 3 orang tersebut.Suap itu berkaitan dengan ekspor kapal perang Strategic Sealift Vessel (SSV) ke Filipina. Kapal BRP TARLAC (LD-601) tersebut merupakan pesanan The Department of National Defence Armed Forces of The Philippines. Beberapa tahun sebelumnya, Direktur Utama PT Pelindo II (Persero) RJ Lina ditetapkan sebagai tersangka oleh KPK pada Desember 2015. Lino disangka melakukan korupsi dalam pengadaan crane.Lino dianggap menyalahgunakan wewenang untuk memperkaya diri sendiri dan orang lain atau korporasi. Kerugian negara dalam kasus ini disebut mencapai Rp 60 miliar.Deretan kasus tersebut menjadi catatan penting bagi Kementerian BUMN. Pemerintah juga menyesalkan kejadian tersebut terutama yang baru saja melibatkan Direktur Teknologi dan Produksi Krakatau Steel Wisnu Kuncoro.""Semestinya tidak ada lagi hal-hal seperti ini. Kementerian BUMN tidak pernah dan tidak akan mentolelir (kasus korupsi),"" ujar Deputi Bidang Usaha Pertambangan, Industri Strategis, dan Media Kementerian BUMN Fajar Harry Sampurno kepada detikFinance, Sabtu (23/3/2019). (ara/dna) ott kpk ott kpk komisi pemberantasan korupsi bumn direksi bumn","Ramai-ramai Pejabat BUMN Diciduk KPK"
