"_type","category","isi","judul"
"dict","sport","Jakarta - Jorge Lorenzo bicara soal skuat barunya di Repsol Honda. Menurut Lorenzo, ia dan Marc Marquez ibarat Cristiano Ronaldo dan Lionel Messi dalam satu tim.Setelah dua tahun bersama Ducati, Lorenzo pindah ke Honda mulai MotoGP musim ini. Ia jadi tandem Marquez.Satu tim dengan Marquez, Lorenzo tak menampik kemungkinan terjadinya gesekan di antara keduanya. Namun Lorenzo percaya keberadaannya dan Marquez hanya akan berdampak positif untuk Honda. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945783791-0'); }); Dengan reputasi sama-sama sebagai juara dunia, Lorenzo yakin ia dan Marquez bakal membuat Honda lebih kuat. Pemilik tiga gelar juara dunia MotoGP itu bahkan mengibaratkan ia dan Marquez seperti Ronaldo dan Messi dalam satu tim.Baca juga: Sering Jatuh, Jorge Lorenzo Trauma""Bisa saja ada percikan antara Marc dan saya, faktanya, itu adalah sesuatu yang bisa terjadi dalam kompetisi dan itu wajar,"" ujar Lorenzo dalam wawancara dengan GQ seperti dikutip Marca.""Seperti yang dikatakan Carmelo Ezpeleta (CEO Dorna Sports) beberapa hari lalu, Marc dan saya tidak harus jadi teman. Dia punya teman-temannya sendiri, saya juga, dan kami bersaing di olahraga individual.""""Memang berbagi garasi dan jadi bagian dari tim, mencoba berbagi informasi jadi tim lebih kuat. Tapi pada akhirnya, ketika balapan, tetap saja ini adalah olahraga individu dan saya ingin mengalahkan 22 pebalap, termasuk teman setim saya.""""Tapi secara umum, 90 persen dari kontribusi Lorenzo-Marquez adalah hal positif, dua pebalap terbaik di grid. Kejuaraan didominasi Lorenzo-Marquez dalam satu dekade terakhir. Ini seperti menyatukan Ronaldo dan Messi dalam satu tim,"" katanya.Baca juga: Quartararo Jadikan Lorenzo 'Guru' Balapannya (nds/yna) motogp jorge lorenzo marc marquez cristiano ronaldo lionel messi","Lorenzo: Marquez dan Saya di Honda bagai Menyatukan Ronaldo dan Messi"
"dict","sport","Figueres - Penampilan Maverick Vinales saat kualifikasi dan balapan bertolak belakang. Rider Yamaha itu mengakui masih kesulitan saat race day.Vinales cuma finis di posisi ketujuh saat membalap di MotoGP Qatar pada 10 Maret. Dia kesulitan sejak awal seri di Losail, padahal menempati pole position.Selepas start, Vinales langsung melorot ke posisi ketujuh. Sepanjang 22 lap dia kesulitan untuk menyalip pebalap-pebalap di depannya. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945783791-0'); }); Vinales bahkan disalip oleh rekan setimnya, Valentino Rossi, yang start dari posisi ke-14. The Doctor menjadi pebalap kelima yang menyentuh garis finis di MotoGP Qatar 2019.Baca juga: Vinales Bakal Ubah Taktik di MotoGP Argentina""Saat saya sendirian, saya bisa mencatatkan waktu lap yang bagus. Lantas saat membalap dalam grup, sungguh sulit. Saya harus mengendarai motor dengan cara yang berbeda,"" kata Vinales di Auto Sport.""Saya harus membalap pada jalur yang berbeda dan tak bisa secepat saat saya sendirian.""""Untuk satu lap, saya bisa sangat cepat karena saya hanya mengelilingi trek dan bisa mencapai kecepatan tinggi serta saya yakin pada kemampuan motor. Saya yakin pada ban depan dan saya bisa melakukannya.""""Sekarang waktunya untuk meningkatkan sisi pengereman. Kami cukup melakukan banyak peningkatan, tapi masih belum cukup,"" dia menambahkan.Baca juga: Vinales Tunggu 'Senjata' dari Yamaha (cas/ran) motogp 2019 maverick vinales monster energy yamaha motogp","Vinales Akui Masih Sulit Bersaing Saat Balapan"
"dict","sport","Jakarta - Usai menjadi juara All England 2019, Hendra Setiawan/Mohammad Ahsan menegaskan ambisi untuk tampil di Olimpiade 2020 Tokyo. Ketua Umum PP PBSI, Wiranto, meresponsnya. Hendra/Ahsan tiba di Tanah Air pada Minggu (17/3/2019). Mereka membawa pulang gelar juara All England 2019. Itu menjadi koleksi kedua Hendra/Ahsan setelah juara pada 2014. Tepat setelah menjadi juara All England, Hendra dan Ahsan menyebut target berikutnya adalah Olimpiade 2020 Tokyo. Saat tiba di Jakarta, Hendra dan Ahsan menegaskan target tersebut. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945783791-0'); }); Baca juga: Menumpang Pesawat Ekonomi, Lelah Hendra/Ahsan Luntur Setiba di Tanah Air""Untuk target ke depannya masih banyak pertandingan- pertandingan yang di depan mata harus kami jalani. Target kami selanjutnya olimpiade,"" kata Ahsan dalam konferensi pers. ""Target kami berdua sih, kami cobalah, minimal lolos ke Olimpiade 2020. Tapi itu tak mudah, persaingan ketat,"" Hendra menimpali. Ketua Umum PP PBSI Wiranto (Femi Diah/detikSport)Mendengar target kedua pebulutangkis senior itu, Wiranto belum memiliki sikap tegas. Dia akan menggodok harapan Hendra dan Ahsan. ""PBSI memiliki target tertentu. Target PBSi dan pemain akan kami kawinkan agar sukses bersama untuk supremasi bulutangkis Indonesia. Kami ingin Indonesia selalu ditakuti di turnamen internasional,"" kata Wiranto. Baca juga: Hendra/Ahsan Juga Ditunggu Bonus dari PBSI (fem/mrp) hendra setiawan mohammad ahsan all england 2019 olimpiade 2020","Hendra/Ahsan Berambisi ke Olimpiade, Apa Kata PBSI?"
"dict","finance","Jakarta - Menteri Keuangan Sri Mulyani Indrawati memiliki sosok idola yang tidak lain adalah ibunya, Prof. Dr. Retno Sriningsih Satmoko. Mantan Direktur Pelaksana Bank Dunia itu menceritakan sosok sang ibu dalam acara Accenture International Women's Day (IWD) 2019.Sri Mulyani bercerita bagaimana sang ibu membesarkan 10 anaknya, termasuk dia di dalamnya yang merupakan anak ke 7.""Ibu saya punya 10 anak, saya anak nomor 7. Tapi ibu saya bukan ibu rumah tangga biasa, dia profesor doktor di bidang pendidikan,"" katanya di MidPlaza Hotel, Jakarta, Jumat (22/3/2019). googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535944306169-0'); }); Sebagai wanita, Sri Mulyani melihat sang ibu sebagai sosok yang luar biasa. Bagaimana tidak? ketika harus membesarkan 10 anaknya, ibunya tetap mengejar karirnya di pendidikan.Baca juga: Sri Mulyani Mau Kaji Pangkas Pajak Penghasilan Seperti Prabowo?""Waktu dia pursue (mengejar) karir, anaknya 10, dia mau ambil PhD, saya sudah SMA beliau disertasi, saya lulus sarjana dia selesai doktor,"" ungkapnya.Sri Mulyani pun menyampaikan bahwa wanita memiliki peranan yang setara dengan laki-laki.""Perempuan dan cowok itu kayak sepatu hak kiri dan kanan. Just look at your shoes, kamu nggak mau kan lihat haknya beda. Society kita akan dapat support bagus, kalau sepatunya haknya sama. Jangan kiri sepatu lari, satunya high heels. Jadi itu adalah message yang paling sederhana tapi akan mengena,"" tambahnya.Baca juga: Sri Mulyani Bicara Kesetaraan Perempuan di Bidang Ekonomi (fdl/fdl) sri mulyani perempuan gender menteri keuangan","Soal Kesetaraan Gender, Sri Mulyani: Ibu Saya Profesor, Anaknya 10"
"dict","sport","Jakarta - Sirkuit Mandalika akan aman buat para rider MotoGP. CEO Dorna, Carmelo Ezpeleta, yang mengungkapkan hal itu.Indonesia ditunjuk menjadi salah satu tuan rumah seri MotoGP 2021. Keputusan itu sudah dipresentasikan pada seri perdana balapan musim ini, MotoGP Qatar.Ezpeleta juga sudah bertemu dengan Presiden RI Joko Widodo sebagai bentuk komitmen untuk menggelar balapan kuda besi tingkat Indonesia itu ke tanah air. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945783791-0'); }); Mandalika, salah satu daerah di Lombok, Nusa Tenggara Barat, yang akan menjadi temat balapan. Balapan di sana akan menjadi adu cepat dengan sirkuit jalan raya yang pertama di MotoGP.Baca juga: Ternyata Ini Alasan MotoGP Pilih Indonesia Jadi Tuan RumahPihak konsultan balapan, MRK1 Consulting, sadar bahwa ada keraguan balapan MotoGP akan berlangsung di jalan raya. Lewat Managing Director-nya, Mark Hughes, yang menjelaskan itu.""Kami sangat sadar bahwa kami mengumumkan proyek ini ada banyak skeptisme mengenai konsep sirkuit jalanan,"" kata Hughes di Crash.""Kami harus membuatnya sangat jelas bahwa treknya suah didesain dan akan dibangun dengan standar keamanan FIM untuk MotoGP,"" dia menambahkan.Hal yang sama juga diungkapkan Ezpelata. Fasilitas lengkap juga akan mendukung sirkuit Mandalika.""Kami selalu bilang bahwa kami tak akan membalap di sirkuit jalan raya, tapi yang ini mempunyai semua fasilitas dari sirkuit jalan raya --di tengah 'kota', semua hotel akan ada di sana-- tapi dengan keamaman (safety) penuh untuk para rider,"" kata Ezpeleta.Baca juga: Jokowi: Sirkuit Mandalika Indah Sekali, Mepet Pantai (cas/mrp) motogp indonesia sirkuit mandalika motogp","Sirkuit Jalan Raya Mandalika Dijamin Aman untuk Para Riders"
"dict","hot","","Pesona Eva Green dengan Dress Hijau Ketat"
"dict","finance","Jakarta - Indeks Harga Saham Gabungan (IHSG) berhasil mengakhiri perdagangan hari ini dengan positif. IHSG naik 23,49 poin (0,36%) ke level 6.525,27.Sementara nilai tukar dolar Amerika Serikat (AS) terhadap rupiah sore ini berada di level Rp 14.182.Membuka perdagangan Jumat (22/3/2019), IHSG menguat 9,07 poin (0,14%) ke 6.510,85. Indeks LQ45 juga bertambah 2,09 poin (0,2%) ke 1.026,715. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535944306169-0'); }); Pada pukul 09.05 waktu JATS, IHSG menguat 14,53 poin (0,22%) ke 6.516,31. Indeks LQ45 bertambah 2,09 poin (0,2%) ke 1.026,71.Hingga sesi I berakhir, IHSG ditutup turun 3,9 poin (0,06%) ke level 6.497,87. Sedangkan indeks LQ45 turun 1,83 poin (0,18%) ke level 1.022,785.Pada sore hari, IHSG naik 23,49 poin (0,36%) ke level 6.525,27. Sedangkan indeks LQ45 naik 1,31 poin (0,13%) ke level 1.025,93.Perdagangan saham sendiri berlangsung lesu, sebanyak 378.769 kali dengan nilai Rp 7,6 triliun. Sebanyak 189 saham menguat, 186 saham turun dan 163 saham tak berubah.Penguatan IHSG diwarnai menguatnya tujuh sektor saham. Saham sektor keuangan dan agrikultur turun paling dalam.Baca juga: Daya Beli Membaik, BI Prediksi Ekonomi Tumbuh 5,2% Kuartal I 2019Sementara itu, Bursa Amerika Serikat ditutup Menguat. Dow Jones ditutup 25,962.51 (+0.84%), NASDAQ ditutup 7,836.96 (+1.40%), S&P 500 ditutup 2,854,88 (+1.06%). Penguatan Wall Street dipimpin oleh saham Apple dan Micron. Kabar akan kalemnya bank sentral Amerika Serikat (AS) Federal Reserve di sepanjang tahun ini juga ikut mendorong penguatan saham-saham Negeri Paman Sam. Pernyataan bank sentral hari Rabu sesuai dengan keinginan pasar yang berharap Jerome Powell dan kawan-kawan tidak menaikkan bunganya di tahun ini ketika berbagai ketidakpastian membayangi ekonomi AS.Perdagangan bursa saham Asia mayoritas bergerak positif sore ini. Berikut pergerakannya:Indeks Nikkei 225 naik 18,42 poin di posisi 21.627,34Indeks Hang Seng naik 41,8 poin ke 29.113,36Indeks Komposit Shanghai naik 2,69 poin ke 3.104,15Indeks Strait Times turun 1,55 poin ke 3.212,1Saham-saham yang masuk jajaran top gainers antara lain Sinar Mas (SMMA) naik Rp 1.300 ke Rp 9.000, Tigaraksa Satria (TGKA) naik Rp 490 ke Rp 3.500, Bank Danamon (BDMN) naik Rp 375 ke Rp 8.950, dan FKS Multi Agro (FISH) naik Rp 360 ke Rp 3.760.Sementara saham-saham yang masuk jajaran top losers antara lain Gudang Garam (GGRM) turun Rp 2.100 ke Rp 85.900, Indah Kiat (INKP) turun Rp 400 ke Rp 9.800, Sampoerna Agro (SGRO) turun Rp 150 ke Rp 2.390, dan Darya Varia (DVLA) turun Rp 140 ke Rp 2.040.Baca juga: Balik Tekan Rupiah, Dolar AS Perkasa di Rp 14.145 (eds/dna) ihsg","Kembali Menguat, IHSG Ditutup di Level 6.525"
"dict","sport","Jakarta - Hendra Setiawan/Mohammad Ahsan berambisi lolos kualifikasi Olimpiade 2020 Tokyo. The Daddies akan mati-matian berupaya bertahan di empat besar dunia.Hendra/Ahsan sukses membuktikan konsistensinya di bulutangkis level internasional, meskipun berstatus profesional. Mereka tak hanya juara All England 2019, tapi juga melesat ke peringkat keempat dunia mendekati Kevin Sanjaya Sukamuljo/Marcus Fernaldi Gideon di posisi puncak.Ahsan dan Hendra tak menyangka peringkatnya bisa naik drastis. Mereka pun kian antusias untuk turut dalam persaingan tiket Olimpiade 2020. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945783791-0'); }); Baca juga: Komentar Pendek Kevin Sanjaya Saat Pesta Juara Hendra/Ahsan""Kalau kami sih jalani saja ya. Kami juga kan tidak menyangka rankingnya naik-naik terus. Tapi, kalau mau aman terus memang harus (berada) di empat besar,"" kata Ahsan di Galeri Indonesia Kaya, Grand Indonesia, Rabu (20/3/2019).Menuju Tokyo, juara dunia 2015 itu, tak hanya bersaing dengan ganda putra di luar, melainkan para juniornya di pelatnas PBSI. Sebab, peta persaingan ganda putra bakal jauh lebih berat menjelang perhitungan poin. ""Pastinya persaingan tak akan mudah. Dari internal sendiri ada Kevin/Marcus, Fajar Alfian/Muhammad Rian Ardianto, dan beberapa pasangan lain, mulai rapat, ramai. Tapi kami sendiri tidak mau kalah. Apalagi kami posisinya profesional,"" Ahsan menjelaskan.""Misalnya dari segi latihan. Kami punya program latihan yang sama, jadi kami masih bisa ngimbangin. Dari program latihannya sama. Intinya kami mau berjuang karena keputusan terakhir akan ada di PBSI,"" dia menambahkan.Baca juga: Ketika Penyerahan Bonus Hendra/Ahsan Jadi Ajang Reuni Rudy Hartono dkk (mcy/fem) hendra setiawan mohammad ahsan all england 2019 olimpiade 2020","Ini Target Hendra/Ahsan Setelah Juara All England 2019"
"dict","sport","Jakarta - Valentino Rossi belum juga pensiun kendati sudah tak muda lagi. Dia malah merasa lebih baik lagi dibanding saat berusia 25 tahun.Rossi berulang tahun ke-40 pada 16 Februari. Italiano itu menunjukkan diri masih oke dengan mampu bersaing di baris terdepan di MotoGP Qatar.Start dari posisi ke-14 di MotoGP Qatar, Rossi mampu merangsek ke peringkat lima saat finis. Dia lebih baik dibandingkan Maverick Vinales, yang menempati posisi start terdepan. Rider Spanyol itu finis ketujuh. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945783791-0'); }); Baca juga: Rahasia Rossi Selalu Berjiwa MudaRossi mengungkapkan bahwa dirinya harus berlatih lebih keras lagi agar fisiknya mampu menggeber motor selama balapan sekitar 22 lap. Soal mental, Italiano itu menegaskan jauh lebih baik dari usia 25 tahun.""Tapi secara mental, 40 lebih baik dibandingkan 25. Saya merasa lebih baik, saya yakin pada diri sendiri dan saya mempunyai masalah hidup yang lebih sedikit,"" kata Rossi di MCN Sport.""Tapi jelas lebih berat secara fisik, terutama kalau anda seorang olahragawan. Tak ada perbedaan besar andai anda hidup normal, tapi untuk mengendarai sepeda motor dan pada level tertinggi itu lebih berat.""""Anda harus berlatih lebih keras, dan anda harus berusaha lebih keras lagi,"" dia menambahkan. Baca juga: 'Rossi Masih Kompetitif' (cas/raw) valentino rossi motogp 2019 yamaha","Sudah Kepala Empat, Rossi Merasa Lebih Baik dari Saat 25 Tahun"
"dict","sport","Jakarta - Kevin Sanjaya Sukamuljo menolak wawancara dengan pewarta dalam perayaan juara All England 2019, Hendra Setiawan/Mohammad Ahsan. Kenapa?Dua klub asal Hendra/Ahsan, PB Djarum Kudus dan PB Jaya Raya Jakarta, merayakan keberhasilan juara All England 2019. Mereka menyerahkan bonus di kawasan Jakarta Pusat, Rabu (20/3/2019). Pembagian bonus kepada Hendra/Ahsan itu dihadiri oleh juara-juara All England tahun-tahun sebelumnya. Termasuk, Kevin, yang juara All England 2017 dan 2018 bersama Marcus Fernaldi Gideon. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945783791-0'); }); Baca juga: Rudy Hartono: Pebulutangkis Indonesia, Contohlah Hendra/Ahsan!Kevin juga hadir sebagai perwakilan PB Djarum yang menjadi kampiun kejuaraan bulutangkis beregu Superliga 2019 di Bandung. Kevin, yang rekornya--sebagai pemilik dua gelar juara All England--disamai Hendra/Ahsan, tak mau berkomentar banyak tentang sukses seniornya itu. ""Yang juara kan di sana,"" kata kevin sembari meninggalkan sesi wawancara.Baca juga: Ketika Penyerahan Bonus Hendra/Ahsan Jadi Ajang Reuni Rudy Hartono dkkDi All England 2019, Kevin/Marcus secara mengejutkan terhenti di babak pertama. Laju mereka dihentikan Zhang Nan/Liu Cheng dari China 19-21, 22-20, dan 17-21. (mcy/fem) all england 2019 kevin sanjaya sukamuljo hendra setiawan mohammad ahsan","Komentar Pendek Kevin Sanjaya Saat Pesta Juara Hendra/Ahsan"
