text_asli,removed_noise,removed_alay,removed_stopwords,,,
"@hariankompas lagu   ,   corona
           virus mematikan

ganas membunuh  jutaan  orang        lewat perkumpulan  dan keramaian .
hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd","lagu , corona virus mematikan

ganas membunuh jutaan orang lewat perkumpulan dan keramaian .
hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan

ganas membunuh jutaan orang lewat perkumpulan dan keramaian .
hindari keramaian,jaga jarak, pakai masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan 

 ganas membunuh jutaan orang perkumpulan keramaian . 
 hindari keramaian , jaga jarak , pakai masker , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",,,
"@infomalang gitu psbb dicabut, trs tansisi ke new normal 😅
wes mboh kah","gitu psbb dicabut, trs tansisi ke 😅
wes mboh kah","begitu psbb dicabut, terus tansisi ke 😅
wes mboh kah","psbb dicabut , tansisi 😅 
 wes mboh kah",,,
"lagu   ,   corona
           virus mematikan

ganas membunuh  jutaan  orang        lewat perkumpulan  dan keramaian .
hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd https://t.co/etful7wupf","lagu , corona virus mematikan

ganas membunuh jutaan orang lewat perkumpulan dan keramaian .
hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan

ganas membunuh jutaan orang lewat perkumpulan dan keramaian .
hindari keramaian,jaga jarak, pakai masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan 

 ganas membunuh jutaan orang perkumpulan keramaian . 
 hindari keramaian , jaga jarak , pakai masker , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",,,
"pada gabetah dirumah, disuruh diem dirumah malah pada keluyuran, sekarang bagian ada kebijakan new normal malah dinyinyir. woi mau lu apa bangsat! jadi lu pgn dirumah atau main?!","pada gabetah dirumah, disuruh diem dirumah malah pada keluyuran, sekarang bagian ada kebijakan malah dinyinyir. woi mau lu apa bangsat! jadi lu pgn dirumah atau main?!","pada gabetah dirumah, disuruh diam dirumah malah pada keluyuran, sekarang bagian ada kebijakan malah dinyinyir. woi mau lu apa bangsat! jadi lu pengin dirumah atau main?!","gabetah dirumah , disuruh diam dirumah keluyuran , kebijakan dinyinyir . woi bangsat ! pengin dirumah main ? !",,,
@kenya_kanye new normal sya,sya,saya,,,,
"new normal. tentang kawan, semangat, dan puncak gunung.","normal. tentang kawan, semangat, dan puncak gunung.","normal. tentang kawan, semangat, dan puncak gunung.",". kawan , semangat , puncak gunung .",,,
"jujur cape juga akutu sama quarantine gini. tapi dilihat aja dari kurva kasusnya yg terus meningkat bahkan tembus 30rb kok bisa bisanya mau new normal gitu loh?!
mana tipikal +62 peeps kan suka nyepelein bgt, psbb aja masih ngeyel gmn new normal coba
“losss”
“gasss”
pala kau. 😭","jujur cape juga akutu sama quarantine gini. tapi dilihat aja dari kurva kasusnya yg terus meningkat bahkan tembus 30rb kok bisa bisanya mau gitu loh?!
mana tipikal +62 peeps kan suka nyepelein bgt, psbb aja masih ngeyel gmn coba
“losss”
“gasss”
pala kau. 😭","jujur capek juga akutu sama quarantine gini. tapi dilihat saja dari kurva kasusnya yang terus meningkat bahkan tembus 30rb kok bisa bisanya mau begitu loh?!
mana tipikal +62 peeps kan suka nyepelein bgt, psbb saja masih ngeyel bagaimana coba
“losss”
“gasss”
pala kau. 😭","jujur capek akutu quarantine gini . kurva kasusnya meningkat tembus 30 rb bisanya loh ? ! 
 tipikal +62 peeps suka nyepelein , psbb ngeyel coba 
 “ losss ” 
 “ gasss ” 
 pala kau . 😭",,,
besok surabaya new normal?,besok surabaya normal?,besok surabaya normal?,besok surabaya ?,,,
"@arjuno_ireng01 @ferdinandhaean3 @yradianto lagu   ,   corona
           virus mematikan

ganas membunuh  jutaan  orang        lewat perkumpulan  dan keramaian .
hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd","lagu , corona virus mematikan

ganas membunuh jutaan orang lewat perkumpulan dan keramaian .
hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan

ganas membunuh jutaan orang lewat perkumpulan dan keramaian .
hindari keramaian,jaga jarak, pakai masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan 

 ganas membunuh jutaan orang perkumpulan keramaian . 
 hindari keramaian , jaga jarak , pakai masker , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",,,
"lagu   ,   corona
           virus mematikan

ganas membunuh  jutaan  orang        lewat perkumpulan  dan keramaian .
hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd https://t.co/mro43mtjqb","lagu , corona virus mematikan

ganas membunuh jutaan orang lewat perkumpulan dan keramaian .
hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan

ganas membunuh jutaan orang lewat perkumpulan dan keramaian .
hindari keramaian,jaga jarak, pakai masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan 

 ganas membunuh jutaan orang perkumpulan keramaian . 
 hindari keramaian , jaga jarak , pakai masker , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",,,
"new normal. tentang gunung, puncak, dan ceritanya.
@aksaa_al 
@arunaajade 
@_halaksana https://t.co/obyxnjdgje","normal. tentang gunung, puncak, dan","normal. tentang gunung, puncak, dan",". gunung , puncak ,",,,
"yuk yuk yuk, camping disini. nunggu protokol new normal
https://t.co/whlhcas7l2","yuk yuk yuk, camping disini. nunggu protokol","yuk yuk yuk, camping disini. menunggu protokol",", camping . menunggu protokol",,,
"dua hari kerjaan gue sibuk main mulu, sampe lupa update au :))
dipuas""in mainnya soalnya besok udah masuk kantor :))
welcome new normal~","dua hari kerjaan gue sibuk main mulu, sampe lupa update au :))
dipuas""in mainnya soalnya besok udah masuk kantor :))
welcome normal~","dua hari pekerjaan gue sibuk main mulu, sampai lupa update au :))
dipuas""in mainnya soalnya besok sudah masuk kantor :))
welcome normal~","pekerjaan sibuk main mulu , lupa update au :)) 
 dipuas""in mainnya besok masuk kantor :)) 
 welcome normal~",,,
