text_asli,removed_noise,removed_alay,removed_stopwords
"giat patroli blp kbm bb polsek karanglewas guna cegah dan tangkal gk di wilkum sek karanglewas di saat pandemi covid-19, menuju new normal,(19/6)

#dirumahsaja
#amandirumah
#jatenglawancorona https://t.co/29hbzauayk","giat patroli blp kbm bb polsek karanglewas guna cegah dan tangkal gk di wilkum sek karanglewas di saat pandemi covid-19, menuju normal,(19/6)

#dirumahsaja
#amandirumah
#jatenglawancorona","giat patroli blp kbm bb polsek karanglewas guna cegah dan tangkal enggak di wilkum sek karanglewas di saat pandemi covid-19, menuju normal,(19/6)

#dirumahsaja
#amandirumah
#jatenglawancorona","giat patroli blp kbm bb polsek karanglewas cegah tangkal wilkum sek karanglewas pandemi covid - 19 , normal,(19 / 6 ) 

 #dirumahsaja 
 #amandirumah 
 #jatenglawancorona"
"pake masker selama rapat, giliran minum air bingung...
pake masker saat makan, trus gimana masuk makannya...
bos, apa bgtu ya mksd lo new normal...jangan bego2 amat jadi orang wkwkwkwkwk...","pake masker selama rapat, giliran minum air bingung...
pake masker saat makan, trus gimana masuk makannya...
bos, apa bgtu ya mksd lo normal...jangan bego2 amat jadi orang wkwkwkwkwk...","pakai masker selama rapat, giliran minum air bingung...
pake masker saat makan, terus bagaimana masuk makannya...
bos, apa begitu ya maksud lo normal...jangan bego2 amat jadi orang wkwkwkwkwk...","pakai masker rapat , giliran minum air bingung ... 
 pake masker makan , masuk makannya ... 
 bos , maksud lo ... bego2 orang wkwkwkwkwk ..."
jangan sampai pelajar dijadikan 'tumbal' kebijakan new normal - https://t.co/ezvwuj59se https://t.co/nzefmzvft9,jangan sampai pelajar dijadikan 'tumbal' kebijakan -,jangan sampai pelajar dijadikan 'tumbal' kebijakan -,pelajar dijadikan ' tumbal ' kebijakan -
"@resistusaid @frdiand @cnnindonesia udh new normal,jdi ga usah bahas pnambahan lg...soalnya udh pasti nambah...","udh normal,jdi ga usah bahas pnambahan lg...soalnya udh pasti nambah...","sudah normal,jdi enggak usah bahas pnambahan lg...soalnya sudah pasti nambah...",", jdi bahas pnambahan ... nambah ..."
eh udah new normal kan apa masih bisa sempro online?😭😭,eh udah kan apa masih bisa sempro online?😭😭,eh sudah kan apa masih bisa sempro online?😭😭,eh sempro online ? 😭 😭
"“ladenin aja deh klo gitu semuanya, kan cuma temen chat, tar jg pd stop sendiri” pas new normal bgt : “mon maap ini napa pd masi ngechat??” “wadu kok jd nagih temu? waduh pilih yg manah ini??” wkwkwkwkwkwkk","“ladenin aja deh klo gitu semuanya, kan cuma temen chat, tar jg pd stop sendiri” pas bgt : “mon maap ini napa pd masi ngechat??” “wadu kok jd nagih temu? waduh pilih yg manah ini??” wkwkwkwkwkwkk","“ladenin saja deh kalo begitu semuanya, kan cuma teman chat, entar juga pada stop sendiri” pas banget : “mon maaf ini kenapa pada masih ngechat??” “wadu kok jadi nagih temu? waduh pilih yang manah ini??” wkwkwkwkwkwkk","“ ladenin deh , teman chat , entar stop ” pas : “ mon maaf ngechat ? ? ” “ wadu nagih temu ? pilih manah ? ? ” wkwkwkwkwkwkk"
"#nowplaying syakir daulay - aisyah istri rasulullah 🎶🎶
#salamhidayahjumat 

sekolah di klaten mulai terapkan protokol new normal https://t.co/wtawa8qsdx","#nowplaying syakir daulay - aisyah istri rasulullah 🎶🎶
#salamhidayahjumat sekolah di klaten mulai terapkan protokol","#nowplaying syakir daulay - aisyah istri rasulullah 🎶🎶
#salamhidayahjumat sekolah di klaten mulai terapkan protokol","#nowplaying syakir daulay - aisyah istri rasulullah 🎶 🎶 
 #salamhidayahjumat sekolah klaten terapkan protokol"
"kangen renang setiap sabtu,btw renang new normal gimana?serius nanya.

pake masker pas renang?","kangen renang setiap sabtu,btw renang gimana?serius nanya.

pake masker pas renang?","kangen renang setiap sabtu,btw renang gimana?serius nanya.

pake masker pas renang?","kangen renang sabtu , btw renang gimana?serius nanya . 

 pake masker pas renang ?"
"mari jaga kebersihan agar terhindar dari covid 19 dan kita siapkan diri untuk hadapi new normal 

.
#newnormal https://t.co/yhis6n37oz","mari jaga kebersihan agar terhindar dari covid 19 dan kita siapkan diri untuk hadapi .
#newnormal","mari jaga kebersihan agar terhindar dari covid 19 dan kita siapkan diri untuk hadapi .
#newnormal","mari jaga kebersihan terhindar covid 19 siapkan hadapi . 
 #newnormal"
tanggung jawab pendidikan paska new normal - https://t.co/ezvwuj59se https://t.co/xor3rfri0r,tanggung jawab pendidikan paska -,tanggung jawab pendidikan paska -,tanggung pendidikan paska -
