text_asli,removed_noise,removed_alay,removed_stopwords
"krakatau stay calm dong, kita juga sama merasakan kerinduan yang hebat kaya kamu ke ibu akibat lockdown corona ini, please lekas pulih nak❤️","krakatau stay calm dong, kita juga sama merasakan kerinduan yang hebat kaya kamu ke ibu akibat corona ini, please lekas pulih nak❤️","krakatau stay calm dong, kita juga sama merasakan kerinduan yang hebat kayak kamu ke ibu akibat corona ini, please lekas pulih nak❤️","krakatau stay calm , merasakan kerinduan hebat akibat corona , please lekas pulih ❤ ️"
"udah tau positif covid-19 malah keluar keliling² gak karuan.
di jemput polisi malah ngeludahi polisi,dasar orang gila sakit bukannya jaga diri malah ngajak² orang.
lekas pulih kota kecilku.

#coronajancok  #karantinawilayah #lekaspulihindonesiaku #lekaspulih    #lockdown","udah tau positif covid-19 malah keluar keliling² gak karuan.
di jemput polisi malah ngeludahi polisi,dasar orang gila sakit bukannya jaga diri malah ngajak² orang.
lekas pulih kota kecilku.

#coronajancok #karantinawilayah #lekaspulihindonesiaku #lekaspulih #lockdown","sudah tau positif covid-19 malah keluar keliling² enggak karuan.
di jemput polisi malah ngeludahi polisi,dasar orang gila sakit bukannya jaga diri malah ngajak² orang.
lekas pulih kota kecilku.

#coronajancok #karantinawilayah #lekaspulihindonesiaku #lekaspulih #lockdown","tau positif covid - 19 keliling² karuan . 
 jemput polisi ngeludahi polisi , dasar orang gila sakit jaga ngajak² orang . 
 lekas pulih kota kecilku . 

 #coronajancok #karantinawilayah #lekaspulihindonesiaku #lekaspulih #lockdown"
